"year","mean_depth","ci_lower","ci_upper"
2003,307.044933072032,305.472564611451,308.353446409231
2004,281.142729775865,279.19462475418,282.796179249892
2005,271.067825759037,269.404798319763,272.659743463597
2006,291.48164801803,289.939727750692,293.133089080901
2007,284.025180925837,282.055453119734,285.646970918965
2008,278.747210198547,277.129287395613,280.274107904661
2009,281.12008149435,279.24030241327,283.159874565057
2010,284.051671776592,282.199479286439,285.690758438117
2011,306.331433244972,304.609819898418,307.87763156368
2012,295.932356956125,294.514476246708,297.622825720289
2013,305.807411905304,304.320641414546,307.25458179383
2014,277.914220379706,276.515866032164,279.482208664438
2015,314.292256598565,313.073951183678,315.666924768759
2016,301.963816014371,300.171005491557,303.504856181863
2017,304.351651872869,302.642296215995,306.082538782299
2018,297.019123090349,295.379315260777,298.655689912954
2019,286.193320687447,284.557808719391,287.839525264622
2021,293.609472927387,291.952635326366,295.348203437903
2022,316.10321067668,314.684462268607,317.369038086338
2023,287.54436861912,285.633532557277,288.893017572613
2024,281.00014665802,279.139323874117,282.658509038934
