"year","mean_depth","ci_lower","ci_upper"
2003,255.974668256526,253.980239268666,258.080120453965
2004,257.984620816008,255.789160306723,260.018882869679
2005,257.372486568291,255.216164770286,259.433345366033
2006,255.816790980699,253.386686597729,258.058047911258
2007,255.115843956358,252.861229794786,257.277700706878
2008,258.360082630364,256.119750827258,260.57562172755
2009,253.291216679389,251.281846845549,255.503549491447
2010,254.588375306359,252.413637598889,256.73083112068
2011,255.314840164581,253.028673390676,257.662794863405
2012,256.603812174313,254.158077735931,258.630045338464
2013,256.767042856726,254.71657097141,258.975768945404
2014,254.232136515979,252.166269129485,256.514286594517
2015,257.610129686016,255.370682088634,259.671981355109
2016,252.345996280142,250.173433408581,254.472177618619
2017,254.576615974396,252.396990309178,256.800476970743
2018,254.677945873105,252.604089836273,256.645802255865
2019,251.13961949444,249.113126269266,253.332579685629
2021,257.884239038385,255.680402560726,260.030132579456
2022,258.537395972256,256.391204253328,260.948615277877
2023,254.820218806478,252.951388430706,256.952804173278
2024,253.098946578277,250.887154067186,255.268119737897
