"year","mean_depth","ci_lower","ci_upper"
2003,171.128466367673,169.737010664754,172.581054691213
2004,171.696642854877,170.602154375585,172.853203165352
2005,171.403302544498,170.273528514928,172.588391829372
2006,171.484357518757,170.093137420948,172.576440992276
2007,171.408841428909,169.892450036699,172.465599043393
2008,171.193632091773,169.982564626904,172.734524567755
2009,171.584992868119,170.388246521279,172.814620312053
2010,171.416616994628,170.207358186963,172.688560764136
2011,171.402044592399,170.089511664292,172.617161781428
2012,171.298827119687,170.128400370347,172.469395338665
2013,171.116682157295,169.832396257273,172.405370320945
2014,171.137342017655,169.86806689551,172.371479042374
2015,171.493481669807,170.33559057059,172.665214158583
2016,170.800985216094,169.636405901783,172.017504342858
2017,171.09066388252,169.809693307108,172.24425186151
2018,170.815879586023,169.42512404585,172.203593485137
2019,171.100923964394,169.812520060678,172.297707604696
2021,170.98642178273,169.834675964307,172.170039099904
2022,171.080454136258,169.958476310159,172.141566432447
2023,171.320014933902,170.190576421243,172.495408899597
2024,171.008377952999,169.730934430238,172.317565239074
