"year","mean_depth","ci_lower","ci_upper"
2003,162.895409082125,161.923095177057,163.980645262979
2004,162.876026387304,161.683519078851,163.954889564781
2005,161.49964678981,160.35808271476,162.724755761964
2006,161.316510908565,160.163276738474,162.509148573369
2007,161.826748668512,160.737674786469,162.91885370693
2008,164.945093790129,163.743275710117,166.105856537657
2009,161.178850193075,160.110665143573,162.15506655229
2010,163.563301002069,162.515411356259,164.672872406653
2011,162.796068872769,161.603220075187,163.984897531195
2012,162.960054108494,161.54851702437,164.047044915524
2013,162.327602134055,161.149772879169,163.512462585333
2014,162.127440342819,160.967245354961,163.43082578561
2015,162.413423438135,161.245747206931,163.649846291799
2016,159.885260176166,158.636495788588,161.312894596419
2017,159.778097064103,158.659117586305,161.059101417381
2018,160.701535309723,159.428393898431,161.885446582332
2019,160.484741177793,159.183513896528,161.639697421823
2021,161.889463841307,160.84805339645,162.940132589041
2022,161.257152823311,160.072282968475,162.464478915657
2023,160.423016106799,159.283555886497,161.551806946657
2024,162.591178017797,161.525391030667,163.841975774261
