"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,380078.050195348,148341.425537948,973829.958263024,12.8481319058628,0.48003947424723,"index","Coastwide",4,"blackgill rockfish"
2004,2149099.6921079,860203.392935156,5369229.56192808,14.5805595645477,0.467169513363493,"index","Coastwide",4,"blackgill rockfish"
2005,513725.758566411,194425.044110204,1357408.23010971,13.1494448584071,0.49574526656257,"index","Coastwide",4,"blackgill rockfish"
2006,554274.571322423,222230.018362335,1382442.85213417,13.2254154590578,0.466308168447866,"index","Coastwide",4,"blackgill rockfish"
2007,812604.483791103,332337.080591379,1986916.55442837,13.6079997803535,0.456179170430079,"index","Coastwide",4,"blackgill rockfish"
2008,1133784.10514392,584849.336059725,2197944.5265981,13.9410713616736,0.337741825384864,"index","Coastwide",4,"blackgill rockfish"
2009,1957463.29103373,952413.66301002,4023107.4842364,14.4871599536872,0.367560434785603,"index","Coastwide",4,"blackgill rockfish"
2010,641826.398802685,305300.842730273,1349295.73897038,13.3720731392562,0.379098904909923,"index","Coastwide",4,"blackgill rockfish"
2011,680571.695275801,331409.258786362,1397600.76138717,13.4306884522849,0.367138955600583,"index","Coastwide",4,"blackgill rockfish"
2012,664299.741604273,312618.478935583,1411606.08354964,13.4064887446788,0.384573360390513,"index","Coastwide",4,"blackgill rockfish"
2013,568353.413272733,228562.823060937,1413290.21952378,13.2504987106792,0.464769929206326,"index","Coastwide",4,"blackgill rockfish"
2014,1840679.59136865,792136.761637919,4277167.17890408,14.4256454045299,0.43018957310215,"index","Coastwide",4,"blackgill rockfish"
2015,938088.131286354,441878.50382002,1991518.78729715,13.75159918017,0.384093249197127,"index","Coastwide",4,"blackgill rockfish"
2016,1115529.53293819,518754.352535018,2398835.08018043,13.9248397675721,0.390646987746051,"index","Coastwide",4,"blackgill rockfish"
2017,1391756.65148758,679082.940860889,2852356.40657438,14.1460772852602,0.366118326842033,"index","Coastwide",4,"blackgill rockfish"
2018,1902000.0035212,992518.358337715,3644873.65196295,14.4584165239388,0.331850860847987,"index","Coastwide",4,"blackgill rockfish"
2019,775003.678648473,249324.743923788,2409029.6553248,13.5606230549674,0.578638967716528,"index","Coastwide",4,"blackgill rockfish"
2021,1894525.31830363,899079.244018217,3992113.27096408,14.45447887346,0.380288833325588,"index","Coastwide",4,"blackgill rockfish"
2022,2508719.2470684,1175043.74467425,5356117.41191494,14.7352829207489,0.386980063079808,"index","Coastwide",4,"blackgill rockfish"
2023,1176729.18926494,568725.320585054,2434728.21544797,13.9782492741824,0.370974377075154,"index","Coastwide",4,"blackgill rockfish"
2024,3586958.47095502,1261022.11866646,10203049.4801805,15.0928151787934,0.533367975978076,"index","Coastwide",4,"blackgill rockfish"
2003,333525.95507535,130130.770201541,854829.050321004,12.7174759676224,0.480203119335096,"index","California",4,"blackgill rockfish"
2004,1859315.63930676,741162.497459849,4664368.01432737,14.4357190421278,0.46926569790485,"index","California",4,"blackgill rockfish"
2005,455256.248071912,171635.465804812,1207549.09503502,13.0286157219809,0.497706900642064,"index","California",4,"blackgill rockfish"
2006,485515.73068605,196978.013099372,1196709.83088194,13.0929669671897,0.460273546578796,"index","California",4,"blackgill rockfish"
2007,715309.124842194,292317.710028735,1750380.24221046,13.4804700706797,0.456576518721565,"index","California",4,"blackgill rockfish"
2008,988712.858253591,506184.523206601,1931218.89599337,13.8041592330131,0.341589277217234,"index","California",4,"blackgill rockfish"
2009,1696208.84854172,822656.178471069,3497359.5691197,14.3439062295815,0.36919688782724,"index","California",4,"blackgill rockfish"
2010,563569.784193995,268342.148452559,1183604.22873568,13.2420464454226,0.378592837779975,"index","California",4,"blackgill rockfish"
2011,587713.163586231,285038.410951827,1211790.23381137,13.2839942908291,0.369198143995454,"index","California",4,"blackgill rockfish"
2012,583181.953233345,274683.485461152,1238156.67332923,13.2762545148105,0.384129386522034,"index","California",4,"blackgill rockfish"
2013,496045.632939209,199680.263055559,1232276.37119847,13.1144232033687,0.464269001368568,"index","California",4,"blackgill rockfish"
2014,1631022.56638115,702649.581053619,3786004.69391237,14.3047177174248,0.429652860856679,"index","California",4,"blackgill rockfish"
2015,821162.685553717,386960.9860221,1742574.00746669,13.6184765241682,0.383883262389172,"index","California",4,"blackgill rockfish"
2016,979503.415606355,455328.809311093,2107107.92193474,13.7948010034524,0.390836726963594,"index","California",4,"blackgill rockfish"
2017,1196460.93651961,578052.355055499,2476451.76098268,13.9948785376736,0.371159276485929,"index","California",4,"blackgill rockfish"
2018,1641943.2311153,853868.427147532,3157368.85038792,14.3113909953855,0.333607457184804,"index","California",4,"blackgill rockfish"
2019,674941.685669,218658.394137062,2083369.72770486,13.4223815745212,0.575069560746803,"index","California",4,"blackgill rockfish"
2021,1643250.81004223,777878.253273687,3471331.42408904,14.312187039077,0.381569121093855,"index","California",4,"blackgill rockfish"
2022,2177132.43188958,1019364.63711553,4649862.72174189,14.5935191706538,0.387164810299279,"index","California",4,"blackgill rockfish"
2023,1024635.42394547,495420.858396007,2119163.40261296,13.8398474233285,0.37076422309758,"index","California",4,"blackgill rockfish"
2024,3165349.22256428,1113180.29542987,9000730.37757027,14.9677739463564,0.533194664268267,"index","California",4,"blackgill rockfish"
2003,43609.7113112034,14740.9875973303,129014.891851,10.6830351410305,0.553401993562895,"index","Oregon",4,"blackgill rockfish"
2004,271049.331582473,96504.5528587616,761287.814667444,12.5100561186551,0.526902872044231,"index","Oregon",4,"blackgill rockfish"
2005,54827.4766598043,18584.834086196,161747.59392198,10.9119467461792,0.55197217873267,"index","Oregon",4,"blackgill rockfish"
2006,64400.8212159589,20379.5503309222,203511.152402458,11.0728816638117,0.587048757317809,"index","Oregon",4,"blackgill rockfish"
2007,91174.8300814966,32223.0626765348,257978.259975992,11.4205341520228,0.530671202570958,"index","Oregon",4,"blackgill rockfish"
2008,135811.831119786,61350.8937046032,300645.22875443,11.8190256119598,0.405446529060125,"index","Oregon",4,"blackgill rockfish"
2009,244408.10388673,101995.273702074,585667.542007801,12.4065946640225,0.445882126394753,"index","Oregon",4,"blackgill rockfish"
