"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,7592532.66295873,4449955.88880394,12954409.8140688,15.8426757778959,0.272592272432151,"index","Coastwide",6,"canary rockfish"
2004,7589464.34751984,4147953.57284307,13886358.193444,15.8422715734321,0.30824337721988,"index","Coastwide",6,"canary rockfish"
2005,6233238.84002282,3709917.4239286,10472811.6550976,15.6454066336872,0.264742853004115,"index","Coastwide",6,"canary rockfish"
2006,6840888.92523805,3501305.33293926,13365804.1323003,15.7384282409848,0.341731703780973,"index","Coastwide",6,"canary rockfish"
2007,6420721.7111931,3723766.63808296,11070958.8702395,15.6750410854216,0.277961655734714,"index","Coastwide",6,"canary rockfish"
2008,10323562.858724,5419196.31724643,19666375.5765503,16.1499394966851,0.328823090780464,"index","Coastwide",6,"canary rockfish"
2009,3203080.07235095,1635633.1876832,6272630.09038366,14.9796234274518,0.34290572411294,"index","Coastwide",6,"canary rockfish"
2010,6657314.87533377,3915115.54204396,11320187.3286739,15.7112267893491,0.270857726932802,"index","Coastwide",6,"canary rockfish"
2011,6326461.20144061,3628601.92230097,11030174.2076886,15.6602515858875,0.283624394932971,"index","Coastwide",6,"canary rockfish"
2012,7565035.5372195,4526440.54499705,12643436.2962413,15.8390476027771,0.262046226303148,"index","Coastwide",6,"canary rockfish"
2013,5948534.26583367,3240368.34681442,10920073.3140676,15.598655405298,0.309933162800195,"index","Coastwide",6,"canary rockfish"
2014,14292275.4698252,9226147.2379555,22140242.5993186,16.4752297723467,0.223309037208078,"index","Coastwide",6,"canary rockfish"
2015,10368323.7803422,6750229.18303102,15925701.9427211,16.1542659259005,0.218972855609496,"index","Coastwide",6,"canary rockfish"
2016,12179582.5572206,7986487.1124549,18574152.7131262,16.3152715468525,0.215315173970859,"index","Coastwide",6,"canary rockfish"
2017,11371015.6577805,7498022.47427623,17244546.4831674,16.2465781895983,0.212467330644887,"index","Coastwide",6,"canary rockfish"
2018,8121645.58365242,5091020.77088046,12956365.7181963,15.9100433496908,0.23829745881922,"index","Coastwide",6,"canary rockfish"
2019,19272343.6997922,10750056.4915413,34550816.7306073,16.7741816572706,0.297842253390354,"index","Coastwide",6,"canary rockfish"
2021,7093498.72262013,4199210.88589142,11982661.8607967,15.7746892496566,0.267495766505177,"index","Coastwide",6,"canary rockfish"
2022,10275750.0321971,6085367.12199737,17351630.0015012,16.1452973115168,0.2673006753049,"index","Coastwide",6,"canary rockfish"
2023,10736151.356156,6588112.66419613,17495897.8113278,16.1891272360968,0.249162621552835,"index","Coastwide",6,"canary rockfish"
2024,7688895.04101792,4716946.58629278,12533342.464294,15.8552876433837,0.249298154811126,"index","Coastwide",6,"canary rockfish"
2003,1125729.83818004,624092.586083316,2030576.38694603,13.9339421283255,0.300968855295232,"index","California",6,"canary rockfish"
2004,1105814.07018529,575076.231790884,2126369.84493634,13.9160923367924,0.33359513436484,"index","California",6,"canary rockfish"
2005,912097.364213177,517636.936672328,1607152.70272771,13.7235020223638,0.289021964580354,"index","California",6,"canary rockfish"
2006,926592.068411782,457131.529111334,1878174.6752684,13.7392686920444,0.360487365726529,"index","California",6,"canary rockfish"
2007,909028.25101212,498666.411450512,1657084.45999909,13.7201314518979,0.30635196339468,"index","California",6,"canary rockfish"
2008,1431211.96232203,721205.005980662,2840201.69592196,14.174032169388,0.34967655697985,"index","California",6,"canary rockfish"
2009,434868.71149654,213865.565641515,884250.794050932,12.9827994518646,0.362096731773868,"index","California",6,"canary rockfish"
2010,951737.920250077,531211.202002624,1705169.36658551,13.7660449820182,0.297520781804425,"index","California",6,"canary rockfish"
2011,895786.762134888,485470.936628151,1652897.96499339,13.7054576749445,0.312548076198686,"index","California",6,"canary rockfish"
2012,1120062.45854205,638129.184499492,1965965.42127947,13.9288950082718,0.287045571927888,"index","California",6,"canary rockfish"
2013,868070.740994466,453224.177271509,1662635.9518311,13.6740284891632,0.331580753355288,"index","California",6,"canary rockfish"
2014,2251078.78233987,1376213.79873179,3682099.16872684,14.6269201180947,0.251062498895436,"index","California",6,"canary rockfish"
2015,1631602.90965559,1000671.01364095,2660342.92840203,14.3050734697382,0.249439340221723,"index","California",6,"canary rockfish"
2016,1962332.6700536,1213379.56918131,3173573.71573172,14.4896444613366,0.245272060324368,"index","California",6,"canary rockfish"
2017,1819117.15130004,1136180.24570821,2912554.78402663,14.4138618596595,0.240146926524444,"index","California",6,"canary rockfish"
2018,1247166.26849274,740956.840972154,2099209.5831457,14.0363845505716,0.26566145929151,"index","California",6,"canary rockfish"
2019,3033392.20308204,1605130.01137868,5732537.67139744,14.9251920902401,0.324739015625128,"index","California",6,"canary rockfish"
2021,1039418.70878303,586930.652785517,1840747.70510068,13.8541721809933,0.291592208849317,"index","California",6,"canary rockfish"
2022,1533822.3101932,865844.950221799,2717127.21618779,14.2432734199062,0.291746325042754,"index","California",6,"canary rockfish"
2023,1626952.91227229,950716.684696804,2784189.88680674,14.3022194443394,0.274111190040625,"index","California",6,"canary rockfish"
2024,1143345.11169472,664830.878288843,1966271.55435503,13.9494688321948,0.276627972524222,"index","California",6,"canary rockfish"
2003,2751880.18468386,1569524.714766,4824928.51473491,14.8277949395454,0.286490742651516,"index","Oregon",6,"canary rockfish"
2004,2740434.61540263,1463770.30837974,5130573.99668791,14.8236270845457,0.319955377487071,"index","Oregon",6,"canary rockfish"
2005,2252843.9374587,1316964.19253887,3853791.80033751,14.6277039482441,0.273915317209854,"index","Oregon",6,"canary rockfish"
2006,2425924.06949544,1218386.31652193,4830247.60796497,14.7017230693547,0.351376466599055,"index","Oregon",6,"canary rockfish"
2007,2303027.23622976,1313706.03105763,4037383.04112529,14.6497350051462,0.286419687929469,"index","Oregon",6,"canary rockfish"
2008,3683586.78829723,1905537.95626462,7120724.92825939,15.119397506195,0.336293214046878,"index","Oregon",6,"canary rockfish"
2009,1136603.22328552,566848.43621142,2279034.04976705,13.9435547437425,0.354959331152313,"index","Oregon",6,"canary rockfish"
2010,2393437.21095924,1377519.76455524,4158591.28137729,14.6882410543222,0.281865325403452,"index","Oregon",6,"canary rockfish"
2011,2269280.76661953,1275649.66383452,4036872.61772943,14.6349734963534,0.293886700894192,"index","Oregon",6,"canary rockfish"
2012,2741096.42878678,1603300.21171669,4686339.82394515,14.8238685548145,0.273624344027359,"index","Oregon",6,"canary rockfish"
2013,2148658.81950249,1144943.76902907,4032280.75256563,14.5803544005741,0.321173410222398,"index","Oregon",6,"canary rockfish"
2014,5239591.92531708,3309579.57088579,8295109.07831119,15.4717541764168,0.234403518949394,"index","Oregon",6,"canary rockfish"
2015,3800494.90075882,2427579.9804985,5949860.19275371,15.1506418532583,0.228696256924565,"index","Oregon",6,"canary rockfish"
2016,4481315.04650442,2889850.47602331,6949212.32522097,15.3154270984837,0.223836652915222,"index","Oregon",6,"canary rockfish"
2017,4179227.30421051,2714492.82550868,6434329.35100342,15.245636931961,0.220167944954935,"index","Oregon",6,"canary rockfish"
2018,2964118.33045674,1820519.6611119,4826093.15605167,14.9020901871575,0.248707448004879,"index","Oregon",6,"canary rockfish"
