"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,79439042.8957563,49381516.6144761,127791974.990575,18.1905005294886,0.24256250558508,"index","Coastwide",7,"chilipepper"
2004,129871023.679575,78367968.2029348,215221641.932898,18.6820523903958,0.257722367036672,"index","Coastwide",7,"chilipepper"
2005,124406244.977368,76673730.2236064,201854191.053872,18.639062937792,0.246939859243835,"index","Coastwide",7,"chilipepper"
2006,77943817.430557,46970344.5117521,129342008.000984,18.171498835769,0.258408749889651,"index","Coastwide",7,"chilipepper"
2007,113334168.101325,66192616.2560952,194049342.44515,18.5458512524792,0.274378396211107,"index","Coastwide",7,"chilipepper"
2008,33520147.4527417,20615525.6323867,54502626.0930446,17.3276572325166,0.248015889569283,"index","Coastwide",7,"chilipepper"
2009,44834248.0552389,26731798.9932246,75195455.3895967,17.618482870849,0.263840808644883,"index","Coastwide",7,"chilipepper"
2010,45219523.6085454,28560640.202992,71595219.8847974,17.6270394897861,0.234442766374815,"index","Coastwide",7,"chilipepper"
2011,35800670.8025853,22227949.312985,57661100.9800328,17.3934771886978,0.243175976395839,"index","Coastwide",7,"chilipepper"
2012,44732822.4697768,28660231.5755572,69818884.7789748,17.6162180735698,0.227145507087681,"index","Coastwide",7,"chilipepper"
2013,79995892.5916217,49550801.4841809,129147110.43722,18.1974858487153,0.24438043689733,"index","Coastwide",7,"chilipepper"
2014,63560113.0088432,41734770.3898801,96799094.0876609,17.967496677618,0.214622064132031,"index","Coastwide",7,"chilipepper"
2015,54562820.2926234,34705598.5732151,85781588.0053069,17.8148632617439,0.230846939659257,"index","Coastwide",7,"chilipepper"
2016,88649753.4000425,58361292.9276543,134657379.637395,18.3002038087552,0.213289823860456,"index","Coastwide",7,"chilipepper"
2017,82507579.3126103,48962014.2738988,139036368.192387,18.228400717541,0.266252535822031,"index","Coastwide",7,"chilipepper"
2018,133997673.562991,84473536.4128855,212556231.013373,18.7133329962943,0.235404392735054,"index","Coastwide",7,"chilipepper"
2019,115049693.105338,61640267.1025014,214736770.391044,18.5608747069526,0.318398098231647,"index","Coastwide",7,"chilipepper"
2021,58698136.1008438,38724368.8939098,88974237.1567755,17.8879185313273,0.212217616036223,"index","Coastwide",7,"chilipepper"
2022,46814153.5431714,29852461.5633514,73413208.0636899,17.6616961413024,0.22955436223042,"index","Coastwide",7,"chilipepper"
2023,64197663.6514545,39964388.73358,103125311.030776,17.9774773762761,0.241829975516467,"index","Coastwide",7,"chilipepper"
2024,63986051.1449754,42283692.6930366,96827275.0171048,17.9741756667094,0.211362869839376,"index","Coastwide",7,"chilipepper"
2003,74560741.0577245,46305106.8447493,120058120.710447,18.1271246673711,0.243046228977669,"index","California",7,"chilipepper"
2004,120922935.94355,72783889.4103693,200901003.720264,18.61066400763,0.259014360603479,"index","California",7,"chilipepper"
2005,117134890.157618,72016000.0651214,190521307.484868,18.5788367360048,0.248187142428464,"index","California",7,"chilipepper"
2006,73075213.8532662,43977965.6214294,121424145.120041,18.1069997954474,0.259086653803008,"index","California",7,"chilipepper"
2007,106956487.301522,62225291.5538615,183843094.828707,18.4879326489838,0.276362505419255,"index","California",7,"chilipepper"
2008,31662470.5367974,19436721.7084861,51578247.3777903,17.2706426427523,0.248967807684323,"index","California",7,"chilipepper"
2009,42360833.8605705,25179916.9231269,71264740.5009793,17.5617347635975,0.265401548418923,"index","California",7,"chilipepper"
2010,42583316.1110541,26803974.0165577,67651864.2307965,17.5669730939428,0.236184123231967,"index","California",7,"chilipepper"
2011,33523497.0704305,20745408.412241,54172221.3175636,17.3277571560132,0.244862487771142,"index","California",7,"chilipepper"
2012,42128024.329189,26920432.6613157,65926519.6889298,17.5562237382244,0.228487669687277,"index","California",7,"chilipepper"
2013,73475472.9126581,45375562.9966877,118976928.619769,18.1124622066236,0.245911635271145,"index","California",7,"chilipepper"
