"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,1753610.0725725,1246523.05374134,2466980.67668941,14.377187119659,0.17414526276914,"index","Coastwide",9,"curlfin sole"
2004,1186867.06299652,835096.104087827,1686815.94648875,13.9868276732143,0.17935308202651,"index","Coastwide",9,"curlfin sole"
2005,906272.469491753,657682.07968015,1248824.94800241,13.7170952787656,0.163583795073594,"index","Coastwide",9,"curlfin sole"
2006,509274.977945742,351818.079198731,737202.032801534,13.1407433813806,0.188714631377776,"index","Coastwide",9,"curlfin sole"
2007,545248.896206359,371105.41227158,801110.274825869,13.208997659681,0.196307805332948,"index","Coastwide",9,"curlfin sole"
2008,577152.87189653,402461.687632635,827669.931758746,13.2658624530274,0.183935659311432,"index","Coastwide",9,"curlfin sole"
2009,777672.884802939,554799.336662879,1090079.01738933,13.5640612581924,0.172298822359445,"index","Coastwide",9,"curlfin sole"
2010,569941.409742187,403058.706414629,805920.342047525,13.2532888446015,0.176764136244014,"index","Coastwide",9,"curlfin sole"
2011,1065336.28817234,774852.288166779,1464719.69461686,13.878801070825,0.16243838105205,"index","Coastwide",9,"curlfin sole"
2012,1867748.58976693,1408232.6139261,2477207.78519011,14.440244300794,0.144083407762838,"index","Coastwide",9,"curlfin sole"
2013,2282782.70921085,1646306.54620669,3165325.9895486,14.6409057432384,0.166768810995441,"index","Coastwide",9,"curlfin sole"
2014,2353254.68148277,1773374.27328016,3122751.73907732,14.6713098987766,0.144347162595208,"index","Coastwide",9,"curlfin sole"
2015,2524376.70735289,1897795.6544584,3357831.3585318,14.7415047416464,0.145564487488589,"index","Coastwide",9,"curlfin sole"
2016,2385943.18098434,1728831.84706546,3292815.82390364,14.6851050678545,0.164364531646582,"index","Coastwide",9,"curlfin sole"
2017,1602128.0953272,1190229.1854075,2156571.57907615,14.2868433630438,0.151628767704133,"index","Coastwide",9,"curlfin sole"
2018,1549479.21055611,1088728.87209131,2205219.21066884,14.2534294392475,0.180058430015683,"index","Coastwide",9,"curlfin sole"
2019,918976.04790689,571804.413407187,1476933.29541543,13.7310153377848,0.242077438280056,"index","Coastwide",9,"curlfin sole"
2021,1263262.91404746,948526.507208985,1682433.9413596,14.0492085459774,0.146198365796347,"index","Coastwide",9,"curlfin sole"
2022,951525.311118597,695401.989714257,1301981.34473468,13.7658215666452,0.159990800502173,"index","Coastwide",9,"curlfin sole"
2023,1104216.92452331,813211.144839936,1499358.46814263,13.9146469761221,0.156074761053674,"index","Coastwide",9,"curlfin sole"
2024,1010041.76290533,784493.275571409,1300437.35820403,13.8255022373738,0.128935510988642,"index","Coastwide",9,"curlfin sole"
2003,1276961.08077787,879282.030874512,1854501.22323051,14.0599936574773,0.190377313552045,"index","California",9,"curlfin sole"
2004,940391.574298747,636735.763851835,1388859.18337996,13.7540516359086,0.198953452159522,"index","California",9,"curlfin sole"
2005,771901.865074953,543028.303500962,1097240.2091471,13.5566127031482,0.179440022395067,"index","California",9,"curlfin sole"
2006,363982.818771338,234238.050773,565593.38640125,12.8048619443272,0.224886150755086,"index","California",9,"curlfin sole"
2007,391256.929952069,249907.485168654,612554.622492432,12.8771197330172,0.228715255751111,"index","California",9,"curlfin sole"
