"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,11373124.7767418,7727558.27977237,16738530.1416515,16.2467636544193,0.197177173989586,"index","Coastwide",10,"darkblotched rockfish"
2004,9587163.1225429,6385587.26721262,14393930.0947598,16.075935586887,0.207341344434083,"index","Coastwide",10,"darkblotched rockfish"
2005,9097468.33749283,6308484.52563966,13119463.1318038,16.0235067281099,0.186789500005534,"index","Coastwide",10,"darkblotched rockfish"
2006,7881278.7376293,5605156.02279972,11081681.6316171,15.8800007250176,0.173882416842591,"index","Coastwide",10,"darkblotched rockfish"
2007,7974136.09096652,5692687.17280017,11169917.5568745,15.8917138736158,0.171952606934328,"index","Coastwide",10,"darkblotched rockfish"
2008,5521927.84093489,3840366.78677396,7939785.12300017,15.5242376038271,0.185288693720987,"index","Coastwide",10,"darkblotched rockfish"
2009,9866063.15699585,7013420.34687528,13878991.6194313,16.1046114622347,0.174123300715786,"index","Coastwide",10,"darkblotched rockfish"
2010,8025036.2873388,5612463.4349044,11474677.4139476,15.8980767487569,0.182440318039042,"index","Coastwide",10,"darkblotched rockfish"
2011,7766077.97129241,5395452.43191253,11178296.5038234,15.8652758293074,0.185824238447794,"index","Coastwide",10,"darkblotched rockfish"
2012,9183457.58162258,6300567.04312269,13385444.9252337,16.0329143345628,0.19223013452208,"index","Coastwide",10,"darkblotched rockfish"
2013,7643860.19804775,5126895.61347287,11396486.9059856,15.8494132950657,0.203780481587901,"index","Coastwide",10,"darkblotched rockfish"
2014,6340540.52952095,4391248.32642642,9155131.11944965,15.6624745798015,0.187427157464377,"index","Coastwide",10,"darkblotched rockfish"
2015,9531298.9655512,6763564.05228359,13431625.5850413,16.0700915691281,0.175019049370645,"index","Coastwide",10,"darkblotched rockfish"
2016,10929329.3112232,7725655.9489771,15461501.2604824,16.2069604960763,0.176994684178116,"index","Coastwide",10,"darkblotched rockfish"
2017,8378112.070301,5941115.70994021,11814744.1136489,15.9411331571365,0.175373453895312,"index","Coastwide",10,"darkblotched rockfish"
2018,7337843.33315133,5058359.58420661,10644546.6925655,15.8085555335947,0.189800802806451,"index","Coastwide",10,"darkblotched rockfish"
2019,8333698.24326969,5063858.28080667,13714942.7489138,15.935817882398,0.254177438736492,"index","Coastwide",10,"darkblotched rockfish"
2021,5661567.28082127,4019471.47661145,7974517.11295336,15.5492113165871,0.17477379218036,"index","Coastwide",10,"darkblotched rockfish"
2022,15217444.107144,10925223.7257045,21195960.0066789,16.5379529664106,0.169068509402613,"index","Coastwide",10,"darkblotched rockfish"
2023,18187910.4918613,12895998.4614113,25651374.6531387,16.7162676726405,0.175431819631179,"index","Coastwide",10,"darkblotched rockfish"
2024,20185215.0182027,14024320.0626283,29052596.0268705,16.8204609645881,0.185798024680921,"index","Coastwide",10,"darkblotched rockfish"
2003,1635479.5353832,1050336.18249219,2546606.84383033,14.3074466131236,0.225935666127274,"index","California",10,"darkblotched rockfish"
2004,1463329.16539786,916854.565380344,2335520.07827511,14.1962246481317,0.238535254441155,"index","California",10,"darkblotched rockfish"
2005,1314063.92606615,850303.134814301,2030762.83161711,14.0886351268176,0.222089250704774,"index","California",10,"darkblotched rockfish"
2006,1179551.134828,776173.896068369,1792563.35045757,13.9806445298601,0.213530792519313,"index","California",10,"darkblotched rockfish"
2007,1231070.75422072,812876.199641643,1864410.84456119,14.0233948805422,0.211769595178758,"index","California",10,"darkblotched rockfish"
2008,772170.58650039,495859.349819444,1202452.70130223,13.5569607715667,0.225980262126744,"index","California",10,"darkblotched rockfish"
2009,1414116.2844388,934467.737641995,2139961.37626009,14.1620153599914,0.211372750537756,"index","California",10,"darkblotched rockfish"
2010,1114980.7662047,716005.06352413,1736275.58286747,13.9243477126869,0.225976190532923,"index","California",10,"darkblotched rockfish"
2011,1076277.19640102,694760.87421485,1667296.83044099,13.8890186039992,0.223318187470261,"index","California",10,"darkblotched rockfish"
2012,1193061.3791708,758278.096959541,1877141.72435721,13.9920331491873,0.23124285593527,"index","California",10,"darkblotched rockfish"
2013,1101543.79212306,685108.955655355,1771103.29086875,13.9122232012414,0.242295287587228,"index","California",10,"darkblotched rockfish"
2014,919492.959523229,590274.213614052,1432329.7259358,13.7315776661437,0.226144558212401,"index","California",10,"darkblotched rockfish"
2015,1424661.11649172,938898.424718935,2161745.34263493,14.1694445304146,0.212749803186586,"index","California",10,"darkblotched rockfish"
2016,1410672.4317009,887087.869110482,2243291.53723675,14.1595770505883,0.236676660695462,"index","California",10,"darkblotched rockfish"
2017,1201774.22397302,786741.804844724,1835750.02181435,13.9993095428013,0.216154045552576,"index","California",10,"darkblotched rockfish"
2018,1013282.93905162,642406.537583515,1598275.00889904,13.8287060522786,0.232519289894728,"index","California",10,"darkblotched rockfish"
2019,1091459.53904058,616066.077977993,1933695.0498437,13.9030263851514,0.291799687879512,"index","California",10,"darkblotched rockfish"
2021,812161.110828298,524958.613493912,1256490.80324978,13.6074540118128,0.222646593625536,"index","California",10,"darkblotched rockfish"
2022,2286329.65465618,1498489.71113621,3488381.1686613,14.6424583188266,0.21556009322236,"index","California",10,"darkblotched rockfish"
2023,2595188.40232405,1692648.58717632,3978972.89170495,14.7691696739984,0.218047171232378,"index","California",10,"darkblotched rockfish"
2024,2837822.44319231,1828331.64337747,4404691.1555987,14.858547570683,0.2243067400436,"index","California",10,"darkblotched rockfish"
2003,7571253.75149595,5031667.30668324,11392621.9433073,15.8398692327695,0.208476929341462,"index","Oregon",10,"darkblotched rockfish"
2004,6286789.43928894,4114568.96544836,9605798.75701467,15.6539610753599,0.216287870212886,"index","Oregon",10,"darkblotched rockfish"
2005,6142319.11110772,4179517.33603307,9026899.76601183,15.6307129342027,0.196435551497062,"index","Oregon",10,"darkblotched rockfish"
2006,5195020.10916363,3633620.33199209,7427367.60277277,15.4632110533768,0.182386518491299,"index","Oregon",10,"darkblotched rockfish"
2007,5260422.55112022,3668990.73967608,7542140.98092199,15.4757219144,0.183827222257367,"index","Oregon",10,"darkblotched rockfish"
2008,3768047.7874186,2581090.55388516,5500846.96056035,15.1420675970339,0.193036727780004,"index","Oregon",10,"darkblotched rockfish"
2009,6646649.52140098,4654452.21125501,9491546.55697451,15.7096234542981,0.181783273996831,"index","Oregon",10,"darkblotched rockfish"
2010,5458426.63627548,3756203.41775106,7932057.46067935,15.5126711443402,0.190693232816419,"index","Oregon",10,"darkblotched rockfish"
2011,5345449.13269137,3658486.7524365,7810285.60815785,15.4917561274782,0.193470883244032,"index","Oregon",10,"darkblotched rockfish"
2012,6365620.97459665,4311279.25856669,9398864.69003548,15.6664223460313,0.198818508570876,"index","Oregon",10,"darkblotched rockfish"
2013,5153066.75247712,3418673.67554394,7767368.13034957,15.4551025813264,0.20936066423268,"index","Oregon",10,"darkblotched rockfish"
2014,4273013.35146068,2918391.21136497,6256406.96513111,15.2678298392318,0.194537641935434,"index","Oregon",10,"darkblotched rockfish"
2015,6316513.61491722,4399984.76827775,9067836.90141082,15.6586779707026,0.184476008960977,"index","Oregon",10,"darkblotched rockfish"
2016,7582665.23022835,5309485.32397762,10829074.4743296,15.8413753093036,0.181824691371212,"index","Oregon",10,"darkblotched rockfish"
2017,5615884.10132135,3921483.15850411,8042404.61190822,15.5411095872457,0.183232494632282,"index","Oregon",10,"darkblotched rockfish"
2018,5025660.85678202,3427639.73528491,7368705.28935317,15.4300675170497,0.195251066660233,"index","Oregon",10,"darkblotched rockfish"
2019,5789388.28623419,3489854.54172372,9604130.00830426,15.5715371939219,0.258253000153904,"index","Oregon",10,"darkblotched rockfish"
2021,3848502.37009981,2702270.4961568,5480935.57389172,15.1631946358066,0.180407260795364,"index","Oregon",10,"darkblotched rockfish"
2022,10180041.5338913,7258009.4813039,14278466.554598,16.1359396490284,0.172617190222944,"index","Oregon",10,"darkblotched rockfish"
2023,12383471.5800895,8648887.06717659,17730647.5600618,16.3318732043349,0.183131934714066,"index","Oregon",10,"darkblotched rockfish"
2024,13816430.3620385,9521996.37197381,20047660.2271052,16.4413690478631,0.189928979857781,"index","Oregon",10,"darkblotched rockfish"
2003,2166391.48986269,1331916.16112726,3523684.31611893,14.5885734334532,0.248190401091725,"index","Washington",10,"darkblotched rockfish"
2004,1837044.5178561,1109557.97381232,3041510.80000798,14.4236685979026,0.257247750312335,"index","Washington",10,"darkblotched rockfish"
2005,1641085.30031896,1037428.33704378,2595997.10819285,14.3108683494153,0.233990469753704,"index","Washington",10,"darkblotched rockfish"
