"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,3333564.57501692,2334985.15126203,4759196.33570323,15.0195527323891,0.181654686175429,"index","Coastwide",13,"flathead sole"
2004,1954385.38759337,1348283.27273533,2832952.33314688,14.4855863222263,0.189413496267501,"index","Coastwide",13,"flathead sole"
2005,1760716.08650941,1169791.17695736,2650149.18761522,14.3812311516012,0.208623905957061,"index","Coastwide",13,"flathead sole"
2006,996288.624178452,677102.265059109,1465939.59862288,13.8117922778994,0.197051927607807,"index","Coastwide",13,"flathead sole"
2007,389952.765349023,221862.470278681,685393.789280105,12.8737808962812,0.287744027490246,"index","Coastwide",13,"flathead sole"
2008,200430.999918255,116336.78256701,345312.848110544,12.2082253264404,0.277546306504192,"index","Coastwide",13,"flathead sole"
2009,468209.603128281,301653.664897288,726728.225019864,13.0566713445682,0.224308464205908,"index","Coastwide",13,"flathead sole"
2010,710197.903842956,501338.539587041,1006068.79941525,13.4732989479843,0.177687993834016,"index","Coastwide",13,"flathead sole"
2011,1137794.84981161,764430.701132264,1693517.95831893,13.9446026048441,0.202920030030919,"index","Coastwide",13,"flathead sole"
2012,802586.217948233,534244.353241915,1205711.64361707,13.595594564911,0.207649714229856,"index","Coastwide",13,"flathead sole"
2013,1425644.67076876,920291.504843132,2208498.84693635,14.1701346699221,0.223314775907257,"index","Coastwide",13,"flathead sole"
2014,2106104.04623115,1585247.16582475,2798096.31531086,14.5603503751238,0.14495137851782,"index","Coastwide",13,"flathead sole"
2015,3364696.66851698,2594054.94081152,4364280.60678913,15.0288483739122,0.132714454128536,"index","Coastwide",13,"flathead sole"
2016,4055389.30981281,2960858.45123823,5554531.8106194,15.2155572482754,0.160496544422783,"index","Coastwide",13,"flathead sole"
2017,2601915.87769456,1950685.61821461,3470557.31143154,14.7717586076682,0.146975731244348,"index","Coastwide",13,"flathead sole"
2018,2064535.529264,1511323.04664025,2820248.7622145,14.5404158337819,0.159145689029715,"index","Coastwide",13,"flathead sole"
2019,1620212.48224577,1007905.98067349,2604497.38166143,14.2980678604877,0.242189353534084,"index","Coastwide",13,"flathead sole"
2021,1056136.84634562,718346.051658743,1552768.3845874,13.8701283241948,0.196647300263903,"index","Coastwide",13,"flathead sole"
2022,1148896.2289695,694946.067448358,1899374.07630329,13.9543122385395,0.256495895721979,"index","Coastwide",13,"flathead sole"
2023,1320566.75810025,949693.321397285,1836273.3772136,14.0935715646101,0.168205729969086,"index","Coastwide",13,"flathead sole"
2024,1350605.95128613,935265.720363314,1950393.77145235,14.1160639025149,0.187492190987116,"index","Coastwide",13,"flathead sole"
2003,5427.69170462736,1077.11044740388,27350.8044708755,8.59926922211023,0.825133528977991,"index","California",13,"flathead sole"
2004,3860.3121896681,803.685367643056,18542.0947072892,8.25850333734077,0.800675671037094,"index","California",13,"flathead sole"
2005,1666.16936624575,319.923278064029,8677.45658838911,7.41828247797133,0.841954893044016,"index","California",13,"flathead sole"
2006,1213.22913605848,223.670391444193,6580.77686133279,7.10104079140016,0.862703245222808,"index","California",13,"flathead sole"
2007,199.160791879164,31.6481009001599,1253.31441362205,5.2941124978615,0.938504160655655,"index","California",13,"flathead sole"
2008,95.9203158161915,14.9288374762019,616.304317127493,4.56351780320958,0.949110837913173,"index","California",13,"flathead sole"
2009,1058.97536112116,254.246661035371,4410.79072934483,6.9650570791562,0.727948160360115,"index","California",13,"flathead sole"
2010,2797.14422555461,892.817947291387,8763.28241640954,7.93635425624675,0.582649258647905,"index","California",13,"flathead sole"
2011,4278.98352713096,1283.24231605271,14268.3106662032,8.36147076670877,0.614463103743776,"index","California",13,"flathead sole"
2012,1346.2278280369,306.398529266665,5914.94146306308,7.2050617589102,0.755205265389691,"index","California",13,"flathead sole"
2013,2016.13987185368,376.73870390383,10789.4939934703,7.60894000766432,0.855826008457644,"index","California",13,"flathead sole"
2014,11341.5895138227,3842.87387720529,33472.7750143078,9.33623173622645,0.552181557199484,"index","California",13,"flathead sole"
2015,14433.2230048146,4674.26097791114,44567.0293745141,9.57728798128503,0.575246096633721,"index","California",13,"flathead sole"
2016,9491.65672567365,2341.4661146645,38476.5539991316,9.15816845230769,0.714113068640482,"index","California",13,"flathead sole"
2017,3811.40161582743,848.325754091088,17124.0613727403,8.24575227864009,0.766589378421587,"index","California",13,"flathead sole"
2018,2752.14539083133,611.793409680567,12380.4933698597,7.92013602862841,0.767229082190806,"index","California",13,"flathead sole"
2019,2868.93211489795,549.367527963467,14982.2679006979,7.96169515411131,0.843345847055898,"index","California",13,"flathead sole"
2021,1794.94087147472,378.649619041617,8508.69133381151,7.49272735969722,0.79395135957022,"index","California",13,"flathead sole"
2022,1420.9547345341,258.89523236924,7798.95535007456,7.25908427293393,0.868720453399733,"index","California",13,"flathead sole"
2023,2088.32431515882,449.421741575017,9703.79944236764,7.64411726029303,0.783767219557295,"index","California",13,"flathead sole"
2024,2997.54230536933,691.604329953916,12991.9080655229,8.00554800035314,0.748245374585275,"index","California",13,"flathead sole"
2003,1112464.71485383,642950.754734973,1924840.63931917,13.9220885755342,0.279732263601955,"index","Oregon",13,"flathead sole"
2004,749679.173694233,451152.860665928,1245739.33243224,13.5274006255858,0.259106356727968,"index","Oregon",13,"flathead sole"
2005,522625.006588514,291678.973488091,936429.85041154,13.1666194812654,0.297561799741199,"index","Oregon",13,"flathead sole"
2006,361680.176825967,224224.12914022,583400.862389159,12.7985156108701,0.243940300703676,"index","Oregon",13,"flathead sole"
2007,117087.633979304,54987.6973792957,249319.660292474,11.6706779417832,0.385626058725664,"index","Oregon",13,"flathead sole"
2008,48572.0298067989,20575.5275407891,114662.531732203,10.7908031258357,0.438245532827043,"index","Oregon",13,"flathead sole"
2009,169756.721481556,94487.6148462798,304985.415655257,12.0421216409938,0.298932837822649,"index","Oregon",13,"flathead sole"
2010,287484.329364455,186358.157509163,443486.031063959,12.5689236311756,0.221176488671332,"index","Oregon",13,"flathead sole"
2011,434156.899785553,262015.350499799,719393.780829446,12.9811612679931,0.257659273974235,"index","Oregon",13,"flathead sole"
2012,309448.703088598,195637.750205431,489468.416717445,12.6425476161379,0.233946952511916,"index","Oregon",13,"flathead sole"
2013,657076.481883376,415850.284801705,1038233.03439629,13.3955557014729,0.233409962080125,"index","Oregon",13,"flathead sole"
2014,977749.528981999,715692.813203244,1335760.43211298,13.793008810881,0.159187868399008,"index","Oregon",13,"flathead sole"
2015,1370430.60034889,983680.499757428,1909237.83772855,14.1306355552443,0.169176132785478,"index","Oregon",13,"flathead sole"
2016,1797011.60271903,1236089.82574568,2612472.51862036,14.4016356224611,0.190907606722296,"index","Oregon",13,"flathead sole"
2017,895735.809338585,619206.393989437,1295759.61734196,13.7054007928297,0.188374311123714,"index","Oregon",13,"flathead sole"
2018,759390.579282261,514861.792071653,1120056.02432117,13.5402715212279,0.19827800182711,"index","Oregon",13,"flathead sole"
2019,632338.695413862,342096.147019548,1168829.95965125,13.3571804400452,0.31344113295972,"index","Oregon",13,"flathead sole"
2021,306290.717771904,194989.310690907,481123.829100255,12.6322899879931,0.230407279154881,"index","Oregon",13,"flathead sole"
2022,500039.863228551,303109.440671974,824916.123573407,13.1224431006834,0.255409739677638,"index","Oregon",13,"flathead sole"
2023,618565.86621588,421025.884283165,908789.091432832,13.3351589586222,0.196283895022748,"index","Oregon",13,"flathead sole"
2024,603246.63256869,414530.917447424,877875.411432056,13.3100814013228,0.191421150473124,"index","Oregon",13,"flathead sole"
2003,2215672.16845846,1539377.23717292,3189083.89674332,14.6110663774841,0.185808453217136,"index","Washington",13,"flathead sole"
2004,1200845.90170946,801188.215551046,1799865.31461974,13.9985367845114,0.20647604422138,"index","Washington",13,"flathead sole"
2005,1236424.91055465,788853.752201141,1937934.06594621,14.0277346366873,0.229289117561353,"index","Washington",13,"flathead sole"
2006,633395.218216424,399246.602134284,1004866.41668272,13.3588498636683,0.235471320845329,"index","Washington",13,"flathead sole"
2007,272665.97057784,146046.967796721,509060.425099935,12.5160027740205,0.31853607145347,"index","Washington",13,"flathead sole"
2008,151763.04979564,85016.4396856985,270912.583124183,11.9300757005828,0.295656338746548,"index","Washington",13,"flathead sole"
2009,297393.906285604,181064.680737806,488461.554928442,12.6028128228373,0.253169562397987,"index","Washington",13,"flathead sole"
2010,419916.430252946,274667.558282247,641975.373790529,12.9478109948731,0.21658266775816,"index","Washington",13,"flathead sole"
2011,699358.966498922,441099.386307259,1108827.12423849,13.4579194323148,0.235154289127897,"index","Washington",13,"flathead sole"
2012,491791.287031598,296718.707377468,815110.958583804,13.1058096921201,0.257795469877534,"index","Washington",13,"flathead sole"
2013,766552.049013534,427686.168319277,1373909.39285226,13.5496578797681,0.297716147009737,"index","Washington",13,"flathead sole"
2014,1117012.92773533,752862.340608971,1657298.83595799,13.926168651606,0.201295013196616,"index","Washington",13,"flathead sole"
2015,1979832.84516327,1439829.88154937,2722361.95748997,14.4985229774723,0.162496583214827,"index","Washington",13,"flathead sole"
2016,2248886.05036812,1488649.86409035,3397366.02241974,14.6259455628584,0.2104964328219,"index","Washington",13,"flathead sole"
2017,1702368.66674015,1200589.62170523,2413863.17614712,14.3475311726148,0.178170532654484,"index","Washington",13,"flathead sole"
2018,1302392.80459091,887411.176390318,1911433.01163936,14.0797137494846,0.195743411679081,"index","Washington",13,"flathead sole"
2019,985004.854717012,591118.9140158,1641352.59557969,13.8004018487888,0.260529973264519,"index","Washington",13,"flathead sole"
2021,748051.187702243,475205.137138179,1177555.82945229,13.5252266873722,0.231496513968128,"index","Washington",13,"flathead sole"
2022,647435.411006416,330695.634021624,1267548.06626095,13.3807743162389,0.342771920753728,"index","Washington",13,"flathead sole"
2023,699912.567569205,453477.008426919,1080269.98753623,13.4587107027519,0.22143817794077,"index","Washington",13,"flathead sole"
2024,744361.776412069,448916.020949143,1234249.67772781,13.5202824542482,0.258010527108665,"index","Washington",13,"flathead sole"
