"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,3722421.00222917,1838391.30887801,7537251.75424897,15.1298848216171,0.359947105489283,"index","Coastwide",14,"greenspotted rockfish"
2004,8570104.52429155,3930697.6348442,18685408.6425281,15.963790487033,0.397692513669799,"index","Coastwide",14,"greenspotted rockfish"
2005,1611710.20439422,789594.410092003,3289802.65025658,14.2928064119384,0.36405348767006,"index","Coastwide",14,"greenspotted rockfish"
2006,2967438.36618906,1624423.99294582,5420807.92660669,14.9032096356425,0.307426970784536,"index","Coastwide",14,"greenspotted rockfish"
2007,3323472.35974262,1763790.2540343,6262348.08856041,15.016520685818,0.323243225867766,"index","Coastwide",14,"greenspotted rockfish"
2008,1547200.32689078,823377.724829274,2907327.68126231,14.2519576149601,0.321836158550042,"index","Coastwide",14,"greenspotted rockfish"
2009,4321653.37743163,2404838.24400132,7766296.94793557,15.2791486132566,0.299064379157764,"index","Coastwide",14,"greenspotted rockfish"
2010,2955451.53142823,1531712.35030398,5702567.9481451,14.899161999663,0.335345523740346,"index","Coastwide",14,"greenspotted rockfish"
2011,2872322.11358667,1446316.00719895,5704309.62744932,14.8706313594025,0.350058046027662,"index","Coastwide",14,"greenspotted rockfish"
2012,2619616.39495489,1321479.15623146,5192961.25433134,14.7785384508783,0.349126930996598,"index","Coastwide",14,"greenspotted rockfish"
2013,4271026.23249234,1934921.57103886,9427599.21211881,15.2673646918072,0.403980555862739,"index","Coastwide",14,"greenspotted rockfish"
2014,2666211.68122986,1369537.72635789,5190572.40433325,14.79616917688,0.339896736515372,"index","Coastwide",14,"greenspotted rockfish"
2015,3241442.61252512,1448130.90538035,7255525.15401503,14.9915290394532,0.411101833349485,"index","Coastwide",14,"greenspotted rockfish"
2016,7484577.92242855,3977883.00524881,14082592.8271365,15.8283551844568,0.322503302062879,"index","Coastwide",14,"greenspotted rockfish"
2017,4643270.63492375,2157610.97052368,9992516.02058377,15.3509295541088,0.391036480651565,"index","Coastwide",14,"greenspotted rockfish"
2018,5646595.20099744,2932119.38851863,10874058.3650094,15.5465633021822,0.334356777497729,"index","Coastwide",14,"greenspotted rockfish"
2019,3158849.47292979,1227038.06494272,8132046.00388217,14.9657184284209,0.482460233909743,"index","Coastwide",14,"greenspotted rockfish"
2021,3550407.43615762,1951409.06463407,6459636.36798372,15.0825729256146,0.305368192219379,"index","Coastwide",14,"greenspotted rockfish"
2022,3617072.6048991,1965441.34305934,6656629.19695516,15.10117558397,0.311203781625149,"index","Coastwide",14,"greenspotted rockfish"
2023,3880398.74997049,1854974.15669454,8117360.77531353,15.1714484769299,0.376571794444224,"index","Coastwide",14,"greenspotted rockfish"
2024,5049917.45675538,2580978.35501853,9880619.98678,15.434882455921,0.342456988407434,"index","Coastwide",14,"greenspotted rockfish"
2003,2700525.64378732,1320540.51166544,5522616.45010447,14.8089569949105,0.365009414086179,"index","California",14,"greenspotted rockfish"
2004,6269833.18882523,2839441.11833766,13844558.3399556,15.6512603076021,0.404161766438739,"index","California",14,"greenspotted rockfish"
2005,1190926.06202205,576620.478053392,2459685.25084538,13.9902417658243,0.370058936188924,"index","California",14,"greenspotted rockfish"
2006,2137946.70087991,1156097.23868407,3953660.59433375,14.575356440827,0.313677192280482,"index","California",14,"greenspotted rockfish"
2007,2428386.94277014,1277426.41536154,4616362.29915248,14.702737785338,0.327750811496417,"index","California",14,"greenspotted rockfish"
2008,1115116.54813562,588262.846004694,2113825.3492827,13.9244694848896,0.326302088161333,"index","California",14,"greenspotted rockfish"
2009,3118043.01937996,1715791.16531938,5666302.79209673,14.9527161256118,0.304766453481346,"index","California",14,"greenspotted rockfish"
