"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,14601057.7846247,10464265.4195855,20373230.2155608,16.4966045350558,0.16996629545466,"index","Coastwide",15,"greenstriped rockfish"
2004,14815842.4241007,10649226.9740543,20612687.4063811,16.5112076002892,0.168477451628885,"index","Coastwide",15,"greenstriped rockfish"
2005,17452944.6902848,13051110.3791202,23339414.7711343,16.6750189425356,0.148285973717956,"index","Coastwide",15,"greenstriped rockfish"
2006,13922878.1374331,10306533.0029186,18808122.5349902,16.4490439542447,0.153449467620168,"index","Coastwide",15,"greenstriped rockfish"
2007,16258813.4097282,12154541.8583093,21748990.3423746,16.6041456833896,0.148437528590566,"index","Coastwide",15,"greenstriped rockfish"
2008,17564007.095672,12905241.092909,23904578.2280135,16.6813623146532,0.157257094514174,"index","Coastwide",15,"greenstriped rockfish"
2009,13412257.7674087,9883794.0629983,18200364.8874937,16.4116796055462,0.155754186031597,"index","Coastwide",15,"greenstriped rockfish"
2010,16443631.3833984,12446666.6927806,21724130.6244602,16.6154488102684,0.1420869990251,"index","Coastwide",15,"greenstriped rockfish"
2011,19902491.9993203,14891771.1400561,26599199.2529048,16.8063555079511,0.147980352884666,"index","Coastwide",15,"greenstriped rockfish"
2012,20784987.3540949,15324185.593802,28191755.8793218,16.8497415222537,0.155512360743815,"index","Coastwide",15,"greenstriped rockfish"
2013,20592773.1205036,14727854.1713298,28793217.2507547,16.8404507528153,0.171023373424726,"index","Coastwide",15,"greenstriped rockfish"
2014,18766393.7008357,14112077.3012729,24955754.2108277,16.7475782590875,0.145429572392249,"index","Coastwide",15,"greenstriped rockfish"
2015,13065539.635983,9849576.61014905,17331539.4900878,16.3854887600244,0.14416067528275,"index","Coastwide",15,"greenstriped rockfish"
2016,30935399.3268402,22614880.1132623,42317223.2936063,17.2474116954413,0.159846322808402,"index","Coastwide",15,"greenstriped rockfish"
2017,20761526.7241794,15412637.2993538,27966725.1974382,16.848612155185,0.151999640201662,"index","Coastwide",15,"greenstriped rockfish"
2018,29933228.0163239,21592662.9865206,41495490.391184,17.2144797262125,0.166643668142651,"index","Coastwide",15,"greenstriped rockfish"
2019,25567631.0892545,16923598.4839099,38626758.9684144,17.0568376988323,0.210523324001363,"index","Coastwide",15,"greenstriped rockfish"
2021,21772413.3031973,15960025.7775882,29701579.9129164,16.8961542816005,0.158450113843087,"index","Coastwide",15,"greenstriped rockfish"
2022,26127840.106764,19136433.0263208,35673525.3485157,17.0785119745611,0.158884251270529,"index","Coastwide",15,"greenstriped rockfish"
2023,17527326.0883285,12845833.2775934,23914926.5888771,16.6792717117963,0.158544573307517,"index","Coastwide",15,"greenstriped rockfish"
2024,22055393.1203235,16159264.7855605,30102877.3367638,16.9090677159066,0.158708835611773,"index","Coastwide",15,"greenstriped rockfish"
2003,2711729.46726844,1789747.79295408,4108666.44596591,14.8130971691096,0.21199976238758,"index","California",15,"greenstriped rockfish"
2004,2580716.56297566,1670815.3128519,3986136.54494754,14.7635776559233,0.221818045029131,"index","California",15,"greenstriped rockfish"
2005,2962333.2031733,1967133.83134649,4461017.27639767,14.9014877601142,0.208881198828891,"index","California",15,"greenstriped rockfish"
