"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,24113056.3469442,18325239.3692823,31728889.0297139,16.9982640088981,0.14004040021533,"index","Coastwide",16,"lingcod"
2004,24937818.8738534,19078981.6059641,32595807.4193391,17.031896039454,0.136634241218691,"index","Coastwide",16,"lingcod"
2005,19693306.8161801,15316009.9011857,25321629.8408231,16.7957893804544,0.128257531463761,"index","Coastwide",16,"lingcod"
2006,25470711.9292112,19908616.3657934,32586753.1053311,17.0530397982419,0.125704666511766,"index","Coastwide",16,"lingcod"
2007,14785307.0518915,11605380.0561296,18836548.5284778,16.5091444788509,0.123555909324523,"index","Coastwide",16,"lingcod"
2008,14003660.4682712,11065005.8278038,17722765.768262,16.4548293154237,0.120171216984728,"index","Coastwide",16,"lingcod"
2009,11779509.5007664,9309665.57029589,14904600.2813864,16.2818720970158,0.120057496883458,"index","Coastwide",16,"lingcod"
2010,13261998.3054659,10436744.4808079,16852055.6747945,16.4004132331373,0.122231823940626,"index","Coastwide",16,"lingcod"
2011,18654183.0306589,14466456.9376254,24054165.1657827,16.7415809700927,0.129715524978962,"index","Coastwide",16,"lingcod"
2012,23885045.3068058,18288683.7209417,31193900.9943571,16.9887631016772,0.136211712638291,"index","Coastwide",16,"lingcod"
2013,25879554.4609605,19420576.1303257,34486687.449606,17.0689638118754,0.146492551341593,"index","Coastwide",16,"lingcod"
2014,29533835.159153,23354953.1655774,37347427.4610671,17.2010471186078,0.119761114933929,"index","Coastwide",16,"lingcod"
2015,21353114.8326335,16914418.0590667,26956618.3987762,16.8767081807976,0.118895666894597,"index","Coastwide",16,"lingcod"
2016,26664654.4219249,21170903.935717,33584007.4471812,17.098849441945,0.117711908313213,"index","Coastwide",16,"lingcod"
2017,26184044.7131207,20733578.3511106,33067335.7935815,17.0806608028122,0.119081635225973,"index","Coastwide",16,"lingcod"
2018,26413527.4723773,20376184.0880327,34239700.1577832,17.089386841139,0.132405244705175,"index","Coastwide",16,"lingcod"
2019,17835942.6161441,13025666.9586231,24422614.9813993,16.6967262274191,0.160356965520377,"index","Coastwide",16,"lingcod"
2021,17883418.4137954,14323053.762432,22328803.5824961,16.6993844958897,0.113269197450813,"index","Coastwide",16,"lingcod"
2022,14242372.4626416,11222328.1880935,18075141.803447,16.4717320555935,0.121592089214504,"index","Coastwide",16,"lingcod"
2023,17824790.5652564,14138591.1490833,22472052.2253629,16.6961007747009,0.118207374681104,"index","Coastwide",16,"lingcod"
2024,25628633.9710872,20659759.2314038,31792571.8236618,17.0592207988741,0.109962444636192,"index","Coastwide",16,"lingcod"
2003,8763920.54159947,5087851.29238982,15096019.6840566,15.9861539132027,0.277447831205908,"index","California",16,"lingcod"
2004,10271483.585291,6726708.93499729,15684248.57719,16.1448820296305,0.215965938696369,"index","California",16,"lingcod"
2005,8513970.79284656,5741109.1933891,12626079.0763071,15.9572189948789,0.20105267703554,"index","California",16,"lingcod"
2006,9005552.92364368,5948123.27263914,13634549.8812374,16.0133519365554,0.211619003421811,"index","California",16,"lingcod"
2007,4217962.44658247,2741372.97787148,6489889.31618996,15.2548627368476,0.219847558715297,"index","California",16,"lingcod"
2008,3708482.51090539,2396186.90573451,5739469.8638817,15.1261333241992,0.222832707675982,"index","California",16,"lingcod"
2009,4375284.51485827,2926826.46086817,6540570.42393972,15.291482107627,0.205132765683519,"index","California",16,"lingcod"
2010,3932596.90349125,2288575.28774425,6757618.36989532,15.1848105553125,0.276214523713061,"index","California",16,"lingcod"
2011,5677449.26852448,2965859.04779875,10868159.8407695,15.5520126173912,0.331299628268442,"index","California",16,"lingcod"
2012,8116575.74600311,4483877.48477313,14692373.3006366,15.9094189170376,0.302770959911003,"index","California",16,"lingcod"
2013,9253755.35901897,5210341.13751853,16435006.0743538,16.0405400118579,0.293058508907207,"index","California",16,"lingcod"
2014,10492144.0538618,6675651.50038575,16490538.315343,16.1661373497509,0.230698111177417,"index","California",16,"lingcod"
2015,7717893.13008824,4983835.66365564,11951813.500161,15.8590519741437,0.223137573684724,"index","California",16,"lingcod"
2016,9394148.98645809,6257175.24610131,14103813.8950572,16.0555976051898,0.207329423295292,"index","California",16,"lingcod"
2017,10584540.5154251,7241626.4819356,15470626.4127462,16.1749050525796,0.193650834526059,"index","California",16,"lingcod"
2018,11458728.1071762,7485156.04559577,17541711.7604979,16.2542622776793,0.217264122016875,"index","California",16,"lingcod"
2019,5825526.67289292,3425686.24787234,9906558.44144063,15.577759969276,0.27089660805688,"index","California",16,"lingcod"
2021,5502281.25143729,3771554.77186387,8027219.754509,15.5206733371968,0.192695100235413,"index","California",16,"lingcod"
2022,3485225.03126586,2365978.1040144,5133941.64466374,15.064043171474,0.197626642878866,"index","California",16,"lingcod"
2023,4861249.36334956,3314294.40514451,7130249.30313515,15.3968060334877,0.195437633900176,"index","California",16,"lingcod"
2024,5736362.1499277,3580930.14542119,9189190.90259238,15.5623357955879,0.240413934907832,"index","California",16,"lingcod"
2003,8685425.99364503,6318224.51045392,11939528.9873397,15.9771570058091,0.162354111379088,"index","Oregon",16,"lingcod"
2004,8888105.09757661,6462820.7904848,12223518.9225542,16.0002244348915,0.16257849740015,"index","Oregon",16,"lingcod"
2005,6597087.7678633,4934110.34847182,8820549.99648943,15.702138862325,0.148194519839916,"index","Oregon",16,"lingcod"
2006,9921120.11672422,7460806.33254284,13192759.6004121,16.110176387879,0.145412026096355,"index","Oregon",16,"lingcod"
2007,5847691.1087877,4330396.4677118,7896619.06450424,15.581557459042,0.153261897995283,"index","Oregon",16,"lingcod"
2008,5988525.24840582,4435315.54197591,8085655.75806078,15.6053557375094,0.153189762948927,"index","Oregon",16,"lingcod"
2009,4102121.05254315,3067632.63652912,5485466.84806339,15.2270147277941,0.148267027436029,"index","Oregon",16,"lingcod"
2010,4639050.65104999,3455425.52064872,6228115.99162091,15.350020302202,0.150290584980489,"index","Oregon",16,"lingcod"
2011,6885197.08177596,5247073.50648601,9034738.84943615,15.7448843145393,0.138626660934079,"index","Oregon",16,"lingcod"
2012,7121833.73446965,5450278.84574974,9306040.51221765,15.7786757972047,0.136481317833579,"index","Oregon",16,"lingcod"
2013,9134011.71218318,6720844.83968418,12413643.2172447,16.0275155549885,0.156528963093254,"index","Oregon",16,"lingcod"
2014,8549235.17852031,6479267.67971965,11280506.6483705,15.9613523841072,0.141448688211016,"index","Oregon",16,"lingcod"
2015,6545093.16502332,4875379.8994794,8786647.48636495,15.6942261917586,0.150266845006079,"index","Oregon",16,"lingcod"
2016,11076754.6318218,8469726.70606294,14486239.9262253,16.2203592931137,0.136916032759277,"index","Oregon",16,"lingcod"
2017,9287632.42852619,6991674.02222785,12337548.3257907,16.044194226698,0.144882077039225,"index","Oregon",16,"lingcod"
2018,9451740.24413516,7002281.10759898,12758041.5967099,16.0617094353344,0.153045112691696,"index","Oregon",16,"lingcod"
2019,6215884.37803555,4339205.53506245,8904214.9049873,15.6426185701545,0.18337925600013,"index","Oregon",16,"lingcod"
2021,5800497.2204434,4371818.95813736,7696057.02490173,15.5734541995049,0.144270243589332,"index","Oregon",16,"lingcod"
2022,5024979.24309092,3785020.78046339,6671143.39869049,15.4299318811727,0.144579159798028,"index","Oregon",16,"lingcod"
2023,5855986.13014766,4239833.8730182,8088188.02423268,15.5829749661348,0.164768497346617,"index","Oregon",16,"lingcod"
2024,7090941.06184833,5370560.88687582,9362419.71773946,15.7743286205675,0.14178102940715,"index","Oregon",16,"lingcod"
2003,6663709.81169963,4807687.56795285,9236255.02425275,15.7121869162174,0.166564359046203,"index","Washington",16,"lingcod"
