"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,47160197.3600156,41093942.6391583,54121947.71782,17.6690608185275,0.0702510515760101,"index","Coastwide",17,"longnose skate"
2004,62701012.5901152,54429282.3181394,72229814.768577,17.9538881552353,0.0721826071487676,"index","Coastwide",17,"longnose skate"
2005,51178106.3957865,45423819.8558261,57661345.5797353,17.7508223891014,0.0608558107149486,"index","Coastwide",17,"longnose skate"
2006,57409055.0833113,50886837.32175,64767232.1374546,17.8657126029126,0.0615305967723715,"index","Coastwide",17,"longnose skate"
2007,57024013.9348461,50838515.7898927,63962098.7103642,17.8589830341807,0.0585818030199353,"index","Coastwide",17,"longnose skate"
2008,57054192.8208163,50729838.5869079,64166987.4990489,17.8595121253635,0.0599436002701515,"index","Coastwide",17,"longnose skate"
2009,49116648.3900427,43460796.2339721,55508535.4645518,17.7097086063734,0.0624188779168883,"index","Coastwide",17,"longnose skate"
2010,57965444.0068618,51583016.2883809,65137577.0685487,17.8753575979704,0.0595187280561324,"index","Coastwide",17,"longnose skate"
2011,57457570.2586172,51254333.00253,64411576.2829451,17.8665573248333,0.0582901558062588,"index","Coastwide",17,"longnose skate"
2012,62617299.4004545,55935316.907002,70097505.4941602,17.9525521461433,0.0575753540149021,"index","Coastwide",17,"longnose skate"
2013,68179190.8205349,59535021.0261372,78078448.2952001,18.0376499563216,0.0691720211957781,"index","Coastwide",17,"longnose skate"
2014,60827677.2387981,54309622.257894,68128006.8695303,17.9235554610996,0.0578293720203322,"index","Coastwide",17,"longnose skate"
2015,53283558.5083239,47669888.3081323,59558302.0660367,17.791138370786,0.0568009858895836,"index","Coastwide",17,"longnose skate"
2016,62617332.7053496,55770811.7052068,70304344.4276493,17.9525526780232,0.059078368869751,"index","Coastwide",17,"longnose skate"
2017,58561585.3479603,52288757.6169145,65586933.6883432,17.8855894994497,0.0578059362003159,"index","Coastwide",17,"longnose skate"
2018,60568090.6053439,54065740.5565436,67852461.8698328,17.9192787546918,0.0579436529432732,"index","Coastwide",17,"longnose skate"
2019,54875057.7019581,47003908.9821341,64064287.9071568,17.8205694808754,0.0789954081034596,"index","Coastwide",17,"longnose skate"
2021,57718797.2562106,51477235.8353932,64717141.5216702,17.8710934540958,0.0583904651815619,"index","Coastwide",17,"longnose skate"
2022,71473412.8429087,63386343.2046764,80592261.442146,18.0848360901606,0.0612649527082958,"index","Coastwide",17,"longnose skate"
2023,67588485.8885657,60198960.683989,75885087.9285004,18.0289481994137,0.0590738169591312,"index","Coastwide",17,"longnose skate"
2024,60338430.2763723,53688574.1110878,67811936.3103882,17.9154797767127,0.0595771215182358,"index","Coastwide",17,"longnose skate"
2003,22767539.2582172,19355877.6216416,26780539.4313348,16.9408463627322,0.0828278884917316,"index","California",17,"longnose skate"
2004,31368067.9801491,26636557.2087454,36940047.5105017,17.2613009901334,0.0834228741160929,"index","California",17,"longnose skate"
2005,25545338.0553347,22178912.0613613,29422736.9925051,17.0559653943778,0.0720997463440884,"index","California",17,"longnose skate"
2006,28993447.2831249,25102602.4918287,33487363.9349936,17.1825804066646,0.0735209035169536,"index","California",17,"longnose skate"
2007,27742587.1872079,24030352.7199996,32028291.5863852,17.1384792340827,0.0732926468507033,"index","California",17,"longnose skate"
2008,28245681.0107914,24553894.2620337,32492544.2477369,17.1564511192949,0.0714656468332891,"index","California",17,"longnose skate"
2009,23724886.6392129,20500027.7770687,27457047.9691315,16.9820351243335,0.0745413315750745,"index","California",17,"longnose skate"
2010,28662614.9071565,24960975.6385083,32913196.3915914,17.1711042151121,0.0705523302571031,"index","California",17,"longnose skate"
2011,28622250.1416623,24914369.0597251,32881956.641487,17.1696949503041,0.0707868541121348,"index","California",17,"longnose skate"
2012,31718781.5171809,27719662.0538183,36294854.49647,17.2724195402851,0.0687599366912426,"index","California",17,"longnose skate"
2013,34607460.2119213,29523884.3655422,40566352.5669928,17.3595798298481,0.0810574571076605,"index","California",17,"longnose skate"
2014,31054288.1616926,27128985.3939121,35547544.4152013,17.2512474618546,0.0689472750131274,"index","California",17,"longnose skate"
