"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,18516023.183796,15387184.6336654,22281081.4782042,16.7341470332278,0.0944412654477133,"index","Coastwide",23,"petrale sole"
2004,23193202.6165563,19554956.2482462,27508353.4211885,16.9593698030407,0.0870579641189992,"index","Coastwide",23,"petrale sole"
2005,23493417.3946436,20166348.987934,27369389.5315004,16.9722308290098,0.0779121191357832,"index","Coastwide",23,"petrale sole"
2006,20846823.8946607,17687769.5061811,24570088.7465276,16.8527121634142,0.0838424554533383,"index","Coastwide",23,"petrale sole"
2007,18436053.6392983,15710690.4918145,21634190.6785173,16.7298187423051,0.0816172041556611,"index","Coastwide",23,"petrale sole"
2008,16601391.8795525,14141418.8043551,19489290.0176037,16.6249970979775,0.0818272917630367,"index","Coastwide",23,"petrale sole"
2009,16550552.7426229,14166371.574682,19335988.3751667,16.6219300575754,0.0793629596335619,"index","Coastwide",23,"petrale sole"
2010,24636043.5446437,21308573.7216287,28483119.0234722,17.0197211133084,0.0740325039752568,"index","Coastwide",23,"petrale sole"
2011,31923769.1377095,27648864.9569023,36859633.7515604,17.2788614043302,0.0733514343924033,"index","Coastwide",23,"petrale sole"
2012,38462417.8452766,33161419.4595446,44610804.0794031,17.4651921626407,0.075661833643759,"index","Coastwide",23,"petrale sole"
2013,56831814.874512,47811223.9861979,67554329.5620959,17.8556068479123,0.0881831849723083,"index","Coastwide",23,"petrale sole"
2014,57920471.4247099,50406619.264417,66554374.3860805,17.8745814452474,0.0708933364663759,"index","Coastwide",23,"petrale sole"
2015,52795495.7580777,45712979.2117218,60975338.3044977,17.7819364374254,0.0734929896727107,"index","Coastwide",23,"petrale sole"
2016,59429391.9723622,51379491.8106986,68740513.1062278,17.9002994763022,0.07426147554398,"index","Coastwide",23,"petrale sole"
2017,62207568.1229783,53832622.5452253,71885435.7972987,17.9459872243106,0.0737753433602447,"index","Coastwide",23,"petrale sole"
2018,42445957.4594457,36525512.4437779,49326051.4119357,17.5637422355496,0.0766446175980196,"index","Coastwide",23,"petrale sole"
