"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,931731.365944416,643535.872070282,1348989.81698076,13.7447998181551,0.188813045217454,"index","Coastwide",24,"redbanded rockfish"
2004,866437.123949945,530419.519460963,1415319.87835132,13.672144822262,0.250372612741401,"index","Coastwide",24,"redbanded rockfish"
2005,511541.002810821,347386.537672996,753265.222393337,13.145183023059,0.197447323386646,"index","Coastwide",24,"redbanded rockfish"
2006,411653.914741909,269179.306318586,629539.275659534,12.9279382625609,0.216741360118974,"index","Coastwide",24,"redbanded rockfish"
2007,471693.0578976,308296.573648554,721689.307914345,13.0640837519658,0.216976564467742,"index","Coastwide",24,"redbanded rockfish"
2008,458351.646285558,308761.31624944,680416.297626347,13.0353919551486,0.201569079938285,"index","Coastwide",24,"redbanded rockfish"
2009,394028.792363731,265505.509832394,584766.354979339,12.8841792626754,0.201426349502459,"index","Coastwide",24,"redbanded rockfish"
2010,370154.719274025,225353.410131045,607998.415116757,12.8216763574159,0.253194038629051,"index","Coastwide",24,"redbanded rockfish"
2011,644320.65299889,420225.445292168,987919.957089409,13.3759517895546,0.218067868681832,"index","Coastwide",24,"redbanded rockfish"
2012,433919.370257853,298783.534008987,630175.355912714,12.9806140130068,0.190380737754708,"index","Coastwide",24,"redbanded rockfish"
2013,659406.93780226,426848.648303524,1018669.05599889,13.3990961309509,0.22189762599004,"index","Coastwide",24,"redbanded rockfish"
2014,1212507.5374275,811544.979760928,1811574.91572628,14.0082011182095,0.20485377744238,"index","Coastwide",24,"redbanded rockfish"
2015,593322.010690161,396461.445327526,887932.515300688,13.2934925503116,0.20569687793852,"index","Coastwide",24,"redbanded rockfish"
2016,398304.200049849,252979.869733721,627110.117276669,12.8949713140548,0.231589008451633,"index","Coastwide",24,"redbanded rockfish"
2017,807930.039572238,558104.861855712,1169584.77421749,13.6022307490667,0.188742550273489,"index","Coastwide",24,"redbanded rockfish"
2018,895774.934862212,578386.773000022,1387328.9836235,13.705444471634,0.223191035027463,"index","Coastwide",24,"redbanded rockfish"
2019,644720.94736853,377612.553317741,1100771.40265519,13.3765728624236,0.272938129948892,"index","Coastwide",24,"redbanded rockfish"
2021,934936.480414102,663860.842903944,1316700.97996062,13.7482338705771,0.174700168331122,"index","Coastwide",24,"redbanded rockfish"
2022,1209980.68263991,822501.819676035,1780000.01621687,14.0061149526851,0.196946975423312,"index","Coastwide",24,"redbanded rockfish"
2023,1605754.68799982,1058168.12842502,2436709.29861702,14.2891044146237,0.212786881587234,"index","Coastwide",24,"redbanded rockfish"
2024,1325918.24304678,898177.622234461,1957362.49013932,14.0976157909996,0.198724399406533,"index","Coastwide",24,"redbanded rockfish"
