"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,62517478.448626,54942594.252257,71136704.8601618,17.9509567307884,0.0658977790180452,"index","Coastwide",25,"rex sole"
2004,61994818.7295284,54369057.017272,70690163.857102,17.9425613706387,0.0669683864133567,"index","Coastwide",25,"rex sole"
2005,63132006.6324265,56353869.9331178,70725404.7710833,17.9607384355574,0.0579484947898791,"index","Coastwide",25,"rex sole"
2006,53788012.7282436,47953639.5525204,60332236.3067985,17.8005611885631,0.0585806320825191,"index","Coastwide",25,"rex sole"
2007,53166535.4463714,47652849.8627791,59318183.4771679,17.7889397234247,0.0558616024423204,"index","Coastwide",25,"rex sole"
2008,38812783.4864929,34639560.574559,43488778.0613412,17.4742602216311,0.0580384468501894,"index","Coastwide",25,"rex sole"
2009,36103087.5023936,32261083.3939964,40402639.6536964,17.401888946028,0.0574075511689067,"index","Coastwide",25,"rex sole"
2010,37943751.3926917,33968825.1898228,42383811.088696,17.451615394565,0.0564610572718315,"index","Coastwide",25,"rex sole"
2011,42306451.4805832,37838109.7064868,47302464.3874347,17.5604501496584,0.0569514565274014,"index","Coastwide",25,"rex sole"
2012,43988951.9873914,39551237.9243941,48924584.8802004,17.5994490691582,0.0542568731218536,"index","Coastwide",25,"rex sole"
2013,54915417.319465,48270807.7414752,62474675.6988667,17.8213046925468,0.0658007760590375,"index","Coastwide",25,"rex sole"
2014,60989811.00982,54632327.922213,68087104.9886407,17.9262173755602,0.0561648195783089,"index","Coastwide",25,"rex sole"
2015,69777029.3372666,62582401.331555,77798769.6147865,18.0608154209804,0.0555218127381506,"index","Coastwide",25,"rex sole"
2016,77691545.8356653,69786919.6029525,86491513.4336997,18.1682570042144,0.0547458285600554,"index","Coastwide",25,"rex sole"
2017,75418478.2629248,67676648.0871569,84045930.5279137,18.1385628727535,0.05526179433453,"index","Coastwide",25,"rex sole"
2018,79977185.2497919,71792043.611649,89095529.7926867,18.1972519675878,0.0550866004525633,"index","Coastwide",25,"rex sole"
2019,70783497.8671675,60627833.3385389,82640320.367946,18.0751364505241,0.079017681005798,"index","Coastwide",25,"rex sole"
2021,65161690.8334267,58393418.1080502,72714461.4897226,17.9923822903091,0.0559543712825706,"index","Coastwide",25,"rex sole"
2022,70294311.7852832,62564901.5193025,78978630.9795779,18.0682014400689,0.0594329491571194,"index","Coastwide",25,"rex sole"
2023,69002628.3095841,61602420.2548191,77291812.4634583,18.0496551532793,0.0578803674920895,"index","Coastwide",25,"rex sole"
2024,61885357.2534863,55013789.3173342,69615227.1987724,17.9407941548003,0.0600519851870133,"index","Coastwide",25,"rex sole"
2003,22237424.6282019,18755885.5211571,26365220.321757,16.9172872215498,0.0868735687517703,"index","California",25,"rex sole"
2004,24836432.9562403,20462888.5028659,30144737.4794338,17.0278222039225,0.0988276921816442,"index","California",25,"rex sole"
2005,26719692.2505025,22548858.9573759,31661999.1863504,17.1009113889954,0.0865915742642196,"index","California",25,"rex sole"
2006,19766610.502984,16634847.1203263,23487976.0511446,16.7995047339628,0.0880089931104861,"index","California",25,"rex sole"
2007,19505986.1678523,16357390.1450489,23260648.1233568,16.7862319593911,0.0898187981783462,"index","California",25,"rex sole"
2008,13568737.1140906,11358838.6634529,16208578.3878308,16.4232789629328,0.090701782600845,"index","California",25,"rex sole"
2009,10763681.6524271,9140784.67601914,12674715.2264451,16.1916882151804,0.08338491214952,"index","California",25,"rex sole"
2010,8419494.35897788,7137632.0949005,9931568.94588421,15.9460603320374,0.0842712893699104,"index","California",25,"rex sole"
2011,10496505.7479385,8885400.16995624,12399737.8631342,16.1665529738316,0.0850183563395837,"index","California",25,"rex sole"
2012,12835585.8568476,10946510.6556281,15050664.9535666,16.3677320165006,0.0812263469632473,"index","California",25,"rex sole"
2013,17822454.5203272,14598127.1411219,21758947.7101047,16.6959697101585,0.101821212679282,"index","California",25,"rex sole"
2014,16826878.4886436,14253648.8340423,19864656.6200886,16.6384880759192,0.0846773648890878,"index","California",25,"rex sole"
2015,21044603.2744014,17850890.0372211,24809705.6255178,16.8621547087096,0.0839764317262001,"index","California",25,"rex sole"
2016,20383128.6381834,17207326.0019453,24145060.8324478,16.8302180890985,0.0864160305942834,"index","California",25,"rex sole"
2017,20847012.4931199,17518592.2385018,24807811.2654026,16.852721210241,0.0887505704454998,"index","California",25,"rex sole"
2018,20443439.3375084,17239328.7455668,24243067.5877599,16.8331725741892,0.0869754184077248,"index","California",25,"rex sole"
2019,18287659.6296874,14485614.456962,23087629.1596013,16.7217370531685,0.118915677275643,"index","California",25,"rex sole"
2021,17548931.8171201,14756569.1440201,20869688.9443798,16.6805036409024,0.0884224072324398,"index","California",25,"rex sole"
2022,20328497.5459955,16965717.8351993,24357814.7704525,16.8275342795777,0.0922613950992875,"index","California",25,"rex sole"
2023,18569349.9242958,15645782.2304101,22039214.8844261,16.7370229259469,0.0874051741333685,"index","California",25,"rex sole"
2024,18097434.9540401,14979802.6204762,21863916.3821839,16.7112807709471,0.0964647374518529,"index","California",25,"rex sole"
2003,28967967.9381267,24011171.5319574,34948030.9758101,17.1817012236239,0.09575250596245,"index","Oregon",25,"rex sole"
2004,26760979.9806637,22238104.6405771,32203735.9343454,17.1024554136548,0.0944597015025838,"index","Oregon",25,"rex sole"
2005,24195183.8928571,20646831.5840444,28353353.938411,17.0016641586294,0.0809156333830535,"index","Oregon",25,"rex sole"
2006,23610185.5141975,20238868.5268691,27543084.2032876,16.9771887664725,0.0786102549279222,"index","Oregon",25,"rex sole"
2007,24886715.4642379,21503549.7129375,28802156.6144176,17.0298447035725,0.0745504112972333,"index","Oregon",25,"rex sole"
2008,17400749.3483136,14885977.7673824,20340355.3743234,16.6720238292525,0.0796410506050844,"index","Oregon",25,"rex sole"
2009,18545962.835419,15959123.5231704,21552106.9808986,16.7357626864267,0.0766450078819366,"index","Oregon",25,"rex sole"
2010,21582858.7649001,18507745.9251032,25168910.0526178,16.8874099819074,0.0784249517067311,"index","Oregon",25,"rex sole"
2011,21604987.0723911,18529364.8259395,25191120.730957,16.8884347289861,0.078352158850977,"index","Oregon",25,"rex sole"
2012,22481598.6290401,19452053.006992,25982978.5954,16.9282076938528,0.0738506010709422,"index","Oregon",25,"rex sole"
2013,25486440.3437146,21548018.6099841,30144703.9354586,17.053657117472,0.0856458038827986,"index","Oregon",25,"rex sole"
2014,29082194.8627684,24939461.6742574,33913083.9744245,17.1856366844928,0.0784069363289655,"index","Oregon",25,"rex sole"
2015,34794699.7792884,30023196.1419716,40324525.3105591,17.3649756279522,0.0752538227873645,"index","Oregon",25,"rex sole"
2016,40274939.7273545,35053761.3452078,46273800.8075073,17.5112399904987,0.0708413584158005,"index","Oregon",25,"rex sole"
2017,37738622.3841865,32767906.9605789,43463368.6298487,17.4461945944347,0.0720597151321355,"index","Oregon",25,"rex sole"
2018,42643676.4742988,37026253.7654866,49113344.1358232,17.5683895553597,0.0720685564916232,"index","Oregon",25,"rex sole"
2019,36856556.3752376,30247117.2779838,44910254.9296433,17.4225440814042,0.100834832506406,"index","Oregon",25,"rex sole"
2021,33399714.7425947,28861202.5278759,38651921.8597784,17.3240579172696,0.0745162361895936,"index","Oregon",25,"rex sole"
2022,36623254.3569814,31701522.4036152,42309096.1569469,17.4161939615576,0.0736333420669944,"index","Oregon",25,"rex sole"
2023,33854698.9575883,28985529.1204082,39541822.2916606,17.3375883647515,0.0792265053916683,"index","Oregon",25,"rex sole"
2024,30131107.131588,26006737.9862807,34909553.7261985,17.2210686555886,0.0751046657081164,"index","Oregon",25,"rex sole"
2003,11312085.8822977,8778089.87497798,14577577.6770342,16.2413822592306,0.129396699832642,"index","Washington",25,"rex sole"
2004,10397405.792624,8194798.5860923,13192032.2483535,16.1570668899786,0.121459730717693,"index","Washington",25,"rex sole"
2005,12217130.489067,9788447.30067444,15248412.0108208,16.318349663271,0.113081803357083,"index","Washington",25,"rex sole"
2006,10411216.7110621,8212229.91693218,13199025.6606442,16.1583943128259,0.121052866425233,"index","Washington",25,"rex sole"
2007,8773833.8142811,7077824.40534358,10876246.0598068,15.987284419827,0.109597569371035,"index","Washington",25,"rex sole"
2008,7843297.02408873,6335593.13037358,9709794.63835168,15.8751698427118,0.108918250292157,"index","Washington",25,"rex sole"
2009,6793443.01454746,5376895.95235239,8583180.40759421,15.7314684423796,0.119311701195133,"index","Washington",25,"rex sole"
2010,7941398.26881394,6546547.87296301,9633444.63184641,15.8875999221034,0.098548492343146,"index","Washington",25,"rex sole"
2011,10204958.6602536,8324071.3429131,12510846.7920747,16.1383843032873,0.103941841628981,"index","Washington",25,"rex sole"
2012,8671767.50150341,6952182.07898835,10816683.2723508,15.9755831920512,0.112765875970931,"index","Washington",25,"rex sole"
2013,11606522.4554231,9028929.83672874,14919970.1342511,16.267077778696,0.128131626038542,"index","Washington",25,"rex sole"
2014,15080737.6584081,12310396.0268692,18474519.2457931,16.5289288356878,0.103560151357183,"index","Washington",25,"rex sole"
2015,13937726.2835768,11178010.4124099,17378782.6982373,16.4501098426458,0.112579003525411,"index","Washington",25,"rex sole"
2016,17033477.4701271,13644018.3065184,21264949.0939714,16.6506912285127,0.113205888483891,"index","Washington",25,"rex sole"
2017,16832843.3856187,13587374.4923579,20853522.2609881,16.6388424993491,0.109283092782629,"index","Washington",25,"rex sole"
2018,16890069.4379849,13587252.9410811,20995741.1448067,16.6422363999647,0.111019270886541,"index","Washington",25,"rex sole"
2019,15639281.8622426,11973800.2709157,20426859.612881,16.5652963752908,0.136260088093427,"index","Washington",25,"rex sole"
2021,14213044.2737117,11397074.3029875,17724779.3737323,16.4696707117315,0.112656902440558,"index","Washington",25,"rex sole"
2022,13342559.8823063,10139443.051192,17557562.4138449,16.4064694752676,0.140066781191962,"index","Washington",25,"rex sole"
2023,16578579.4277003,13393401.3194701,20521246.9397909,16.6236220241274,0.108853693752766,"index","Washington",25,"rex sole"
2024,13656815.1678587,10743578.017722,17360008.0179435,16.4297492346932,0.122415766952252,"index","Washington",25,"rex sole"
