"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,5775610.67385353,3804858.12865556,8767128.11042912,15.5691545531718,0.212945387458945,"index","Coastwide",26,"rosethorn rockfish"
2004,3640743.51929256,2184954.62942192,6066493.64466562,15.1076984822959,0.260511348470563,"index","Coastwide",26,"rosethorn rockfish"
2005,2937928.47394755,1780292.42548014,4848317.94737534,14.893215290269,0.255579746091011,"index","Coastwide",26,"rosethorn rockfish"
2006,3316809.14787566,2120782.51637956,5187341.38859845,15.0145137787024,0.22817668701412,"index","Coastwide",26,"rosethorn rockfish"
2007,3131317.339139,1983558.38372926,4943211.331122,14.9569643490975,0.232943768097057,"index","Coastwide",26,"rosethorn rockfish"
2008,3791179.19326977,2285180.73973581,6289673.03354014,15.1481876614557,0.258286370522013,"index","Coastwide",26,"rosethorn rockfish"
2009,3852004.05285667,2490658.17118956,5957435.42604944,15.1641041040431,0.222476814977534,"index","Coastwide",26,"rosethorn rockfish"
2010,3555011.1114094,2269465.69157588,5568757.46091082,15.0838687467869,0.228990821635321,"index","Coastwide",26,"rosethorn rockfish"
2011,3684352.16563712,2417646.02706682,5614738.77005227,15.1196052650669,0.214953111251299,"index","Coastwide",26,"rosethorn rockfish"
2012,2839733.86033688,1736718.21431406,4643291.19777721,14.8592208945972,0.250878634458692,"index","Coastwide",26,"rosethorn rockfish"
2013,5529535.21024237,3192086.95897273,9578611.12002727,15.5256143211855,0.280325988412329,"index","Coastwide",26,"rosethorn rockfish"
2014,3073979.59633076,1979457.95862979,4773706.11356598,14.9384835655605,0.224570431961033,"index","Coastwide",26,"rosethorn rockfish"
2015,2308899.26256196,1368082.05350809,3896707.65067722,14.6522814592177,0.267025877692386,"index","Coastwide",26,"rosethorn rockfish"
2016,3807895.11097254,2493676.84378781,5814733.05664718,15.1525871301266,0.215982696672024,"index","Coastwide",26,"rosethorn rockfish"
2017,4173015.21768361,2601882.27439306,6692868.53536876,15.2441494062681,0.241026731735711,"index","Coastwide",26,"rosethorn rockfish"
2018,3343184.77518825,2099130.55747594,5324530.38770965,15.0224344361417,0.237453669097316,"index","Coastwide",26,"rosethorn rockfish"
2019,4372955.33573968,2037328.04823711,9386185.19728373,15.2909496167,0.389700982105899,"index","Coastwide",26,"rosethorn rockfish"
2021,2711584.01396617,1720407.15957639,4273806.82756941,14.8130435290968,0.232132830616219,"index","Coastwide",26,"rosethorn rockfish"
2022,1763838.82464453,1059436.77685782,2936586.18171694,14.3830031421253,0.260083942285375,"index","Coastwide",26,"rosethorn rockfish"
2023,3459337.10048077,2027629.19020799,5901973.21707285,15.0565875392219,0.272561007001014,"index","Coastwide",26,"rosethorn rockfish"
2024,3533807.43485776,2201565.55211723,5672234.00395528,15.0778864410896,0.241436661577736,"index","Coastwide",26,"rosethorn rockfish"
2003,1340888.45638185,729817.66459605,2463604.18455105,14.1088429793723,0.310359260053099,"index","California",26,"rosethorn rockfish"
2004,775239.097711212,387933.160409127,1549224.76332331,13.5609267739308,0.35324038738107,"index","California",26,"rosethorn rockfish"
2005,601347.526958391,317856.33702314,1137680.15942576,13.3069282942474,0.325298581994682,"index","California",26,"rosethorn rockfish"
2006,721649.840303269,385907.854237274,1349489.22726391,13.4892953145018,0.319363732743454,"index","California",26,"rosethorn rockfish"
2007,637269.445323819,337692.124515163,1202611.24397378,13.364947836208,0.324015112555939,"index","California",26,"rosethorn rockfish"
2008,763875.772982657,384725.775431057,1516680.79919022,13.5461604541197,0.349942331417017,"index","California",26,"rosethorn rockfish"
2009,827177.332678097,450272.990640605,1519572.24599017,13.6257743798924,0.310293995711264,"index","California",26,"rosethorn rockfish"
2010,738931.116798196,389817.91904066,1400703.17115329,13.5129599842167,0.326294235215461,"index","California",26,"rosethorn rockfish"
2011,793067.278540335,425164.108344787,1479324.56184971,13.5836633375483,0.318083817768723,"index","California",26,"rosethorn rockfish"
2012,568784.569994007,286749.968599714,1128215.94590957,13.2512570298072,0.349440657951848,"index","California",26,"rosethorn rockfish"
2013,1181513.80454453,583916.944771508,2390707.93000457,13.982307059455,0.35959488601568,"index","California",26,"rosethorn rockfish"
2014,640912.152999661,343137.709897148,1197094.85729734,13.3706476797086,0.31876123871773,"index","California",26,"rosethorn rockfish"
