"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,605350.515496608,354945.249034086,1032410.6256084,13.3135629337034,0.272374446379679,"index","Coastwide",27,"rougheye rockfish"
2004,1507098.79154297,837274.614860956,2712785.89742923,14.2256970305648,0.299898184518781,"index","Coastwide",27,"rougheye rockfish"
2005,1760072.50486223,957871.815152541,3234102.07228896,14.3808655621103,0.310411988970865,"index","Coastwide",27,"rougheye rockfish"
2006,725877.173766034,427691.882135819,1231956.21287767,13.4951360973536,0.269891583604355,"index","Coastwide",27,"rougheye rockfish"
2007,857025.820009714,519781.240951703,1413081.50101471,13.6612233254921,0.255137348375524,"index","Coastwide",27,"rougheye rockfish"
2008,965171.739549097,582938.906808524,1598034.5040346,13.7800613329313,0.257261698752052,"index","Coastwide",27,"rougheye rockfish"
2009,1012020.59990596,557563.762763387,1836894.29448924,13.8274594842607,0.304152188773234,"index","Coastwide",27,"rougheye rockfish"
2010,854867.288993804,487479.851894312,1499134.94670966,13.6587015183203,0.286585510566779,"index","Coastwide",27,"rougheye rockfish"
2011,1174030.850052,664663.706208947,2073753.12356909,13.9759535567523,0.290269144975484,"index","Coastwide",27,"rougheye rockfish"
2012,613550.388851035,313866.699462145,1199375.65948967,13.3270176731769,0.341993030339025,"index","Coastwide",27,"rougheye rockfish"
2013,1054066.66129919,558702.220224035,1988638.10853822,13.8681662520979,0.323880616049489,"index","Coastwide",27,"rougheye rockfish"
2014,484837.488632927,237827.429956964,988394.78030949,13.0915690387858,0.363408939636446,"index","Coastwide",27,"rougheye rockfish"
2015,1236524.61243555,716743.87866569,2133248.93685215,14.0278152706671,0.278240534858382,"index","Coastwide",27,"rougheye rockfish"
2016,1056371.5492049,596464.932810253,1870890.95868869,13.8703505272031,0.291625152894274,"index","Coastwide",27,"rougheye rockfish"
2017,612562.522426845,329324.593326038,1139401.22142792,13.3254062936231,0.316642116534934,"index","Coastwide",27,"rougheye rockfish"
2018,866096.231937005,480505.395710929,1561111.88276177,13.6717513037,0.300596118934141,"index","Coastwide",27,"rougheye rockfish"
2019,1048550.55774255,407142.995574773,2700422.90814825,13.8629193472771,0.482661728246697,"index","Coastwide",27,"rougheye rockfish"
2021,983415.202865836,575138.981536047,1681516.1070195,13.7987866933339,0.273688547326815,"index","Coastwide",27,"rougheye rockfish"
2022,491895.738564575,238069.445695256,1016348.05302867,13.106022059531,0.370264130631033,"index","Coastwide",27,"rougheye rockfish"
2023,834468.792293082,453939.67432268,1533988.33523436,13.6345506244921,0.310633785641478,"index","Coastwide",27,"rougheye rockfish"
2024,403142.758852173,188699.642653466,861284.535198645,12.9070460185285,0.38732047470766,"index","Coastwide",27,"rougheye rockfish"
2003,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2004,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2005,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2006,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2007,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2008,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2009,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2010,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2011,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2012,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2013,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2014,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2015,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2016,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2017,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2018,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2019,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2021,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2022,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2023,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
2024,NA,NA,NA,NA,NA,"index","California",27,"rougheye rockfish"
