"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,117314995.963164,102938508.160573,133699317.425202,18.5803731482757,0.0667006075331541,"index","Coastwide",29,"sablefish"
2004,141006457.162417,121892989.689781,163117017.739073,18.764316242772,0.0743187935189634,"index","Coastwide",29,"sablefish"
2005,127695711.561125,112372890.704422,145107905.019484,18.665160738302,0.0652192891707051,"index","Coastwide",29,"sablefish"
2006,121123086.751415,106329745.313937,137974581.815046,18.6123178323965,0.0664615294165682,"index","Coastwide",29,"sablefish"
2007,116066765.422977,102184586.002524,131834893.722813,18.5696761474884,0.0649934111173411,"index","Coastwide",29,"sablefish"
2008,83010391.0455506,72982177.060393,94416545.2317645,18.2344763512447,0.0656902539101195,"index","Coastwide",29,"sablefish"
2009,72582490.3747443,63697075.0973427,82707375.5105533,18.1002342712954,0.0666262592968132,"index","Coastwide",29,"sablefish"
2010,77624626.2209467,68602921.8060204,87832740.0249723,18.1673952830172,0.0630366681623631,"index","Coastwide",29,"sablefish"
2011,90384105.9951172,79728183.2297169,102464226.395311,18.3195789912664,0.0640038768926038,"index","Coastwide",29,"sablefish"
2012,82597783.4808635,72817604.5264388,93691544.5148225,18.229493403759,0.064299701628156,"index","Coastwide",29,"sablefish"
2013,92509823.0060327,79871000.7614627,107148618.034303,18.3428253915042,0.0749513725601834,"index","Coastwide",29,"sablefish"
2014,89780753.7990497,79225458.1658235,101742343.17275,18.3128811873515,0.0638138974578168,"index","Coastwide",29,"sablefish"
2015,93701050.1765713,82334628.7725808,106636623.436338,18.3556199550068,0.065979587454947,"index","Coastwide",29,"sablefish"
2016,100387454.871435,88487826.3303468,113887316.634293,18.4245478059351,0.0643747854568266,"index","Coastwide",29,"sablefish"
2017,117922624.456578,103974540.169109,133741830.799254,18.5855392424041,0.0642270073978477,"index","Coastwide",29,"sablefish"
2018,118936312.141563,104827441.595626,134944115.114469,18.5940987157217,0.0644259659136679,"index","Coastwide",29,"sablefish"
2019,111039122.44506,93183442.4922119,132316282.63143,18.5253931516391,0.0894468188251172,"index","Coastwide",29,"sablefish"
2021,161065682.002812,143392672.796353,180916872.620639,18.8973228025049,0.0592997702290027,"index","Coastwide",29,"sablefish"
2022,255533214.468734,225325036.30429,289791248.978401,19.3588629570797,0.0641891557935091,"index","Coastwide",29,"sablefish"
2023,227289312.493214,200851099.896743,257207611.012318,19.2417342683298,0.0630929314726253,"index","Coastwide",29,"sablefish"
2024,218157713.383499,193546491.974975,245898478.567468,19.2007288150729,0.0610728083976755,"index","Coastwide",29,"sablefish"
2003,66736434.5599866,56879632.9958564,78301343.7886247,18.0162616070254,0.0815391084225984,"index","California",29,"sablefish"
2004,83052938.6753914,70053995.7479589,98463914.1418181,18.2349887778093,0.086844405642917,"index","California",29,"sablefish"
2005,78583498.4384371,67488043.2729619,91503115.623711,18.1796722918269,0.0776602476229946,"index","California",29,"sablefish"
2006,74177210.0834704,63678514.5397026,86406828.669609,18.1219675192277,0.0778635465524207,"index","California",29,"sablefish"
2007,70632382.3851624,60504358.3247882,82455769.7913782,18.0729992713155,0.0789674268015387,"index","California",29,"sablefish"
2008,49496843.0094171,42464300.5037482,57694049.7979621,17.7174194479175,0.0781877403699601,"index","California",29,"sablefish"
2009,44843297.9096844,38393583.8647236,52376495.3670906,17.6186847018509,0.0792278768051639,"index","California",29,"sablefish"
2010,46128586.2808952,39809619.7869562,53450560.032005,17.6469434086498,0.075166822233915,"index","California",29,"sablefish"
2011,55746634.8415157,47996572.673098,64748108.5226558,17.8363276048955,0.076372546841236,"index","California",29,"sablefish"
2012,49911854.0226003,42933460.0224817,58024514.4618878,17.725769088073,0.0768417457997848,"index","California",29,"sablefish"
2013,58333264.4218013,49328815.9379295,68981378.8027167,17.8816830618784,0.0855444758980784,"index","California",29,"sablefish"
