"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,61717879.4725338,29017311.2524967,131269800.066623,17.9380842276515,0.385048441711146,"index","Coastwide",31,"sharpchin rockfish"
2004,27490079.7422089,11051275.7627031,68381651.1740145,17.1293357609087,0.464946976166258,"index","Coastwide",31,"sharpchin rockfish"
2005,8772663.09457589,3622626.16171067,21244151.1587251,15.9871509778399,0.451253801088389,"index","Coastwide",31,"sharpchin rockfish"
2006,12302184.1173503,5455166.41107571,27743192.9024037,16.3252873750952,0.414912569093433,"index","Coastwide",31,"sharpchin rockfish"
2007,11832418.1703815,4803192.8043104,29148552.9444356,16.2863536250726,0.459989168100583,"index","Coastwide",31,"sharpchin rockfish"
2008,25588870.500672,9091456.63604936,72022594.3666488,17.0576680688528,0.527980298469612,"index","Coastwide",31,"sharpchin rockfish"
2009,6835931.42391863,2923595.65538572,15983728.23767,15.737703291558,0.433364333589791,"index","Coastwide",31,"sharpchin rockfish"
2010,2859230.96242667,1264953.86275341,6462845.75051969,14.8660632523811,0.416087770727848,"index","Coastwide",31,"sharpchin rockfish"
2011,17927463.8760578,8385045.53241517,38329423.4700222,16.7018443897352,0.387703045709976,"index","Coastwide",31,"sharpchin rockfish"
2012,10981579.1400995,4803878.17475797,25103692.47995,16.2117298033858,0.421842292599831,"index","Coastwide",31,"sharpchin rockfish"
2013,12090687.8210897,5145244.15737486,28411621.978622,16.3079461127088,0.435907362610501,"index","Coastwide",31,"sharpchin rockfish"
2014,15179972.2162201,7345050.18307593,31372359.7173185,16.5354874996416,0.370389612015218,"index","Coastwide",31,"sharpchin rockfish"
2015,18739076.4225747,8982882.79061474,39091346.6596688,16.7461215498127,0.375154922946266,"index","Coastwide",31,"sharpchin rockfish"
2016,9552995.6296639,4645130.85656325,19646319.6233609,16.0723653417689,0.367881882593141,"index","Coastwide",31,"sharpchin rockfish"
2017,15996481.5560579,7646322.05090986,33465425.6608052,16.5878793532755,0.37661102273545,"index","Coastwide",31,"sharpchin rockfish"
2018,12157639.6853557,5535332.06319733,26702680.3507715,16.3134683108388,0.401439108763607,"index","Coastwide",31,"sharpchin rockfish"
2019,12441478.5493861,4986130.72212611,31044189.7979023,16.3365464926649,0.466526803206741,"index","Coastwide",31,"sharpchin rockfish"
2021,16932442.7133978,8263862.69696435,34694140.8341425,16.6447420268319,0.365996190462855,"index","Coastwide",31,"sharpchin rockfish"
2022,11017880.9366813,4603557.21967917,26369543.0603002,16.2150300507013,0.445258273289106,"index","Coastwide",31,"sharpchin rockfish"
2023,8704905.51853035,3760613.78292441,20149737.3728216,15.9793972774242,0.428224468337809,"index","Coastwide",31,"sharpchin rockfish"
2024,36108274.516751,16922064.8272939,77047777.672741,17.4020326080286,0.386692650783433,"index","Coastwide",31,"sharpchin rockfish"
2003,9121526.79164964,4014980.8792402,20722950.747035,16.0261477594039,0.418683518093322,"index","California",31,"sharpchin rockfish"
