"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,57529997.0810473,39932859.388974,82881632.1893332,17.8678170581016,0.186282490119216,"index","Coastwide",33,"splitnose rockfish"
2004,78053439.6492846,52036657.159077,117077840.385868,18.1729042737725,0.206863648217695,"index","Coastwide",33,"splitnose rockfish"
2005,71212041.3867721,48359732.2898446,104863170.211061,18.0811724826837,0.197449768371897,"index","Coastwide",33,"splitnose rockfish"
2006,47163262.6895241,33083102.713408,67235935.1174022,17.6691258146484,0.180917914556395,"index","Coastwide",33,"splitnose rockfish"
2007,87154786.1369722,61710893.8658058,123089397.523544,18.2831962468041,0.176138548663297,"index","Coastwide",33,"splitnose rockfish"
2008,41263354.551573,30003757.5499755,56748373.1333579,17.5354853650551,0.162580631133862,"index","Coastwide",33,"splitnose rockfish"
2009,48574761.9584524,35209728.6544023,67012941.8627403,17.6986146527207,0.164177337262191,"index","Coastwide",33,"splitnose rockfish"
2010,45958515.9294877,31790405.4102461,66440964.1583311,17.6432497199424,0.18805173833998,"index","Coastwide",33,"splitnose rockfish"
2011,43313803.5418181,30488806.263315,61533585.8366019,17.5839819306651,0.179141946985244,"index","Coastwide",33,"splitnose rockfish"
2012,41389782.6022583,29194270.8190177,58679804.489114,17.5385446112892,0.178095909354932,"index","Coastwide",33,"splitnose rockfish"
2013,62479768.3164831,41720687.8437247,93568003.0852742,17.950353355366,0.206047500589123,"index","Coastwide",33,"splitnose rockfish"
2014,35012183.4547949,24727688.2145526,49574104.1231173,17.3712066575898,0.177438211221153,"index","Coastwide",33,"splitnose rockfish"
2015,39850826.8408983,27644684.4087992,57446428.9922504,17.5006537118158,0.186590005154418,"index","Coastwide",33,"splitnose rockfish"
2016,46938095.406773,33066187.2644577,66629538.5916324,17.6643401725059,0.178737155293625,"index","Coastwide",33,"splitnose rockfish"
2017,54232836.4182037,37626922.4227243,78167449.1716427,17.8087971209384,0.186517073682068,"index","Coastwide",33,"splitnose rockfish"
2018,60112639.7262346,41066426.3529133,87992303.5864482,17.9117306889777,0.194406235727107,"index","Coastwide",33,"splitnose rockfish"
2019,34222737.5873934,21528533.0827705,54402023.7455433,17.3484008228601,0.236489595285962,"index","Coastwide",33,"splitnose rockfish"
2021,51044080.3446598,35793701.9939779,72792083.3299234,17.7482001378623,0.181083747825415,"index","Coastwide",33,"splitnose rockfish"
2022,45658229.9692782,32195902.925227,64749666.0916458,17.6366944328585,0.178240351119678,"index","Coastwide",33,"splitnose rockfish"
2023,61322343.9350514,42626834.2644627,88217432.2953124,17.9316548358794,0.18554438423791,"index","Coastwide",33,"splitnose rockfish"
2024,74608443.82583,51148526.5991423,108828548.156172,18.1277642467825,0.192615785445134,"index","Coastwide",33,"splitnose rockfish"
2003,42629173.9449506,29302364.5886415,62017058.9213564,17.568049411236,0.191264044022216,"index","California",33,"splitnose rockfish"
2004,58085000.4504601,38387827.6378097,87888986.8205745,17.8774180206849,0.211313598231423,"index","California",33,"splitnose rockfish"
2005,52966528.4202583,35542142.0038477,78933147.3772828,17.7851707327711,0.203545109408556,"index","California",33,"splitnose rockfish"
2006,34995946.3369981,24306067.3255683,50387265.1884633,17.3707427938032,0.185975984943495,"index","California",33,"splitnose rockfish"
2007,64731853.912335,45358528.132064,92379825.4371884,17.9857639708088,0.181460070360757,"index","California",33,"splitnose rockfish"
2008,30612570.0493827,21985994.9691947,42623927.0199691,17.2369212685007,0.168883231941654,"index","California",33,"splitnose rockfish"
2009,36098071.5933088,25997426.4095592,50123068.0386313,17.4017500034084,0.167473432756291,"index","California",33,"splitnose rockfish"
2010,34258552.225765,23460719.8111719,50026103.6341511,17.349446791525,0.193171257892669,"index","California",33,"splitnose rockfish"
2011,32271077.0442482,22457719.6778567,46372580.4994638,17.2896819394937,0.184971238440319,"index","California",33,"splitnose rockfish"
2012,30871084.1361337,21477245.8772503,44373652.0588861,17.24533051527,0.18511866378805,"index","California",33,"splitnose rockfish"
2013,46380695.4934083,30725486.4598096,70012525.8314818,17.6523938852249,0.210101227613719,"index","California",33,"splitnose rockfish"
2014,26079885.0558468,18203199.8437745,37364881.469386,17.0766748876452,0.183455889136797,"index","California",33,"splitnose rockfish"
2015,29712934.5577986,20391260.4804291,43295924.7851973,17.2070930159639,0.192083150371115,"index","California",33,"splitnose rockfish"
