"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,21620381.3279999,13263721.6021418,35242061.2245544,16.8891470077626,0.249292254583141,"index","Coastwide",34,"stripetail rockfish"
2004,34966664.7837415,21050073.1987585,58083771.7072956,17.3699057308493,0.258928806544394,"index","Coastwide",34,"stripetail rockfish"
2005,33723298.827562,20406868.5396627,55729318.861572,17.3336995163118,0.256289107864848,"index","Coastwide",34,"stripetail rockfish"
2006,23374190.9445161,13566817.9558166,40271256.2437276,16.9671430205407,0.277558930477711,"index","Coastwide",34,"stripetail rockfish"
2007,16195320.5574371,10547534.9510378,24867270.8055202,16.6002329039969,0.218794922113133,"index","Coastwide",34,"stripetail rockfish"
2008,20835046.8643424,12995180.0899493,33404629.6268785,16.8521470721446,0.240850337814014,"index","Coastwide",34,"stripetail rockfish"
2009,17075266.8169708,11501491.9008886,25350166.6899594,16.653141589476,0.201613028178898,"index","Coastwide",34,"stripetail rockfish"
2010,16060934.8050507,10370948.5825452,24872712.9209992,16.5919004718282,0.223157887353713,"index","Coastwide",34,"stripetail rockfish"
2011,35752748.8718665,20750701.3660965,61600763.7208462,17.392137715669,0.277580157143154,"index","Coastwide",34,"stripetail rockfish"
2012,28215432.1105313,17190640.7095433,46310700.2604065,17.1553796241904,0.252812796158322,"index","Coastwide",34,"stripetail rockfish"
2013,29492637.6371001,16824002.4327987,51700876.6652082,17.1996512185381,0.286400200206911,"index","Coastwide",34,"stripetail rockfish"
2014,34727694.2923572,18685410.1327357,64543017.3753883,17.3630480330075,0.316227475298968,"index","Coastwide",34,"stripetail rockfish"
2015,24392912.370605,14325793.0220141,41534466.7485892,17.0098031714524,0.271551414880496,"index","Coastwide",34,"stripetail rockfish"
2016,45904340.5490565,24932236.3326923,84517427.6838009,17.6420702358987,0.311433314467332,"index","Coastwide",34,"stripetail rockfish"
2017,38504466.8996734,24052889.587077,61638913.1069145,17.466284815896,0.240065186481913,"index","Coastwide",34,"stripetail rockfish"
2018,40408401.4884312,26568394.0727721,61457945.3458058,17.5145482789456,0.213940362024408,"index","Coastwide",34,"stripetail rockfish"
2019,43284083.9640186,24032707.2453664,77956757.2423798,17.5832955495114,0.300193927909696,"index","Coastwide",34,"stripetail rockfish"
2021,48377971.0738818,31971732.3177275,73203042.6742825,17.6945551249762,0.211326546276945,"index","Coastwide",34,"stripetail rockfish"
2022,49178384.3303763,28480523.5012347,84918154.1638924,17.7109647420446,0.27869579270363,"index","Coastwide",34,"stripetail rockfish"
2023,37060226.0205843,22936456.1632459,59881105.5605736,17.4280548775774,0.244808938576423,"index","Coastwide",34,"stripetail rockfish"
2024,47072487.3550393,29912801.298614,74075946.4040234,17.6671992557253,0.231331889508143,"index","Coastwide",34,"stripetail rockfish"
2003,18436638.964297,10846692.6067991,31337631.5363418,16.7298504907323,0.270657895911416,"index","California",34,"stripetail rockfish"
2004,28510819.918358,16228885.6829235,50087656.5587223,17.1657942194496,0.287500660533159,"index","California",34,"stripetail rockfish"
2005,30129573.5817495,17652909.3862479,51424452.7264868,17.2210177583926,0.272763477850852,"index","California",34,"stripetail rockfish"
2006,20529713.9882012,11336562.5664108,37177861.8049634,16.8373838574904,0.302985246931773,"index","California",34,"stripetail rockfish"
2007,13360603.1339285,8341458.84854298,21399819.7849431,16.4078208698089,0.240347369951251,"index","California",34,"stripetail rockfish"
2008,17760991.3037443,10708404.527042,29458432.5139255,16.6925151106229,0.258155585349924,"index","California",34,"stripetail rockfish"
2009,13921104.6076307,9024743.7550649,21473978.5146622,16.4489165637186,0.221144826204964,"index","California",34,"stripetail rockfish"
2010,12513775.6917608,7632819.50631263,20515955.0719356,16.3423406507962,0.252235648557089,"index","California",34,"stripetail rockfish"
2011,28883285.3455473,15425623.5725258,54081714.6503018,17.1787736240212,0.320022753445711,"index","California",34,"stripetail rockfish"
2012,23478868.4936161,13484987.017357,40879332.3294251,16.9716113615422,0.28292550991125,"index","California",34,"stripetail rockfish"
2013,24944874.8333699,13516605.9412817,46035726.9536178,17.0321789415605,0.312632981614222,"index","California",34,"stripetail rockfish"
2014,30091006.9950521,15041918.1101726,60196358.957966,17.2197369141497,0.353774618994919,"index","California",34,"stripetail rockfish"
2015,19275104.6768961,10205138.6044186,36406135.6446877,16.7743249081069,0.324456457862737,"index","California",34,"stripetail rockfish"
2016,39175057.8432591,19684796.7965586,77962966.6937175,17.4835508227403,0.351125667929328,"index","California",34,"stripetail rockfish"
2017,27455808.8151016,15085991.3174272,49968306.4791777,17.1280883179261,0.305521519166875,"index","California",34,"stripetail rockfish"
2018,30868120.8660038,18957898.1355517,50260892.7944054,17.2452345221281,0.248730759930815,"index","California",34,"stripetail rockfish"
2019,36014912.6053855,18911807.7904497,68585401.4775132,17.3994436496856,0.328652270651268,"index","California",34,"stripetail rockfish"
2021,36613830.7018985,22465710.5714504,59671942.9106728,17.4159366150199,0.249206561309615,"index","California",34,"stripetail rockfish"
2022,40330260.5433163,21472716.2041058,75748680.3267477,17.5126126271142,0.321597212311329,"index","California",34,"stripetail rockfish"
2023,27953071.5342555,15737793.4527062,49649540.1688505,17.1460376454186,0.293098264086547,"index","California",34,"stripetail rockfish"
2024,36989520.9104148,21753898.4489945,62895607.4420422,17.4261452118571,0.270842565257575,"index","California",34,"stripetail rockfish"
2003,2570319.12840222,1329369.11430113,4969680.9943591,14.759540623638,0.336396786537838,"index","Oregon",34,"stripetail rockfish"
2004,5255535.58854884,2729925.06933248,10117733.4985451,15.4747924768997,0.33419377213704,"index","Oregon",34,"stripetail rockfish"
2005,2919381.98971251,1435700.17793661,5936330.81114941,14.8868825044853,0.362108331086944,"index","Oregon",34,"stripetail rockfish"
2006,2217249.3448463,1192127.64370116,4123882.77647698,14.6117779517584,0.316601607038032,"index","Oregon",34,"stripetail rockfish"
2007,2291135.03841562,1250695.03162972,4197106.11420244,14.6445579026997,0.308856656253452,"index","Oregon",34,"stripetail rockfish"
2008,2656000.73667913,1306856.37356844,5397945.83086269,14.7923320669426,0.361841837973979,"index","Oregon",34,"stripetail rockfish"
2009,2624218.45958208,1433486.24429132,4804038.09317045,14.7802936799946,0.308512664719803,"index","Oregon",34,"stripetail rockfish"
2010,2895492.40085664,1590247.20074857,5272058.48214794,14.8786657411778,0.305753427932337,"index","Oregon",34,"stripetail rockfish"
2011,5764335.76363604,3062604.67252565,10849446.9083832,15.5672004862502,0.322671324169111,"index","Oregon",34,"stripetail rockfish"
2012,3378532.76284206,1858672.33152421,6141202.74778971,15.0329520793795,0.304892892694064,"index","Oregon",34,"stripetail rockfish"
2013,3860723.95393185,1953039.53043507,7631790.96797024,15.1663652766873,0.347694055365534,"index","Oregon",34,"stripetail rockfish"
2014,3881682.73874631,2256226.01590508,6678169.99629658,15.1717793131339,0.27682918996298,"index","Oregon",34,"stripetail rockfish"
2015,4394645.41671594,2634381.79252037,7331096.95545889,15.2958974070562,0.261095771404766,"index","Oregon",34,"stripetail rockfish"
2016,5845544.58921121,3178127.04634762,10751738.6958227,15.581190320355,0.310917814336228,"index","Oregon",34,"stripetail rockfish"
2017,9745936.2959089,5594957.37904649,16976585.8520449,16.0923609659297,0.283160654121321,"index","Oregon",34,"stripetail rockfish"
2018,8524329.24696959,4830766.70558805,15041957.8380148,15.958434897331,0.289759990776614,"index","Oregon",34,"stripetail rockfish"
2019,5812497.99081528,2920179.07819386,11569541.4522756,15.5755209832115,0.351213332555439,"index","Oregon",34,"stripetail rockfish"
2021,10191171.6702977,5929192.39298761,17516716.1275307,16.1370323809538,0.276348858233925,"index","Oregon",34,"stripetail rockfish"
2022,7056772.82965477,4083797.01126093,12194054.3646115,15.7694983986833,0.279066681520332,"index","Oregon",34,"stripetail rockfish"
2023,8038675.94242364,4486131.21150448,14404462.9683556,15.8997749438151,0.297594091356801,"index","Oregon",34,"stripetail rockfish"
2024,7287412.00524495,4279500.33221923,12409479.9886716,15.801659034816,0.271592857358928,"index","Oregon",34,"stripetail rockfish"
2003,613423.235300804,161841.37080006,2325042.50147371,13.3268104094702,0.679828036678332,"index","Washington",34,"stripetail rockfish"
2004,1200309.27683463,312740.907228041,4606824.13703149,13.9980898122469,0.686216414465081,"index","Washington",34,"stripetail rockfish"
2005,674343.256099921,174834.755048066,2600963.5608345,13.4214945423017,0.688736121175411,"index","Washington",34,"stripetail rockfish"
2006,627227.611468519,201200.469033077,1955335.78266076,13.3490647704366,0.580116640418852,"index","Washington",34,"stripetail rockfish"
2007,543582.385092889,168918.265772529,1749259.07528071,13.2059365565636,0.596320301468994,"index","Washington",34,"stripetail rockfish"
2008,418054.823918878,114428.459119644,1527328.40367193,12.9433678606071,0.661064578384465,"index","Washington",34,"stripetail rockfish"
2009,529943.749757991,159643.981634922,1759166.70977171,13.1805261473638,0.612166680938994,"index","Washington",34,"stripetail rockfish"
2010,651666.712433405,200891.455598416,2113925.16833907,13.3872885329638,0.600403131367482,"index","Washington",34,"stripetail rockfish"
2011,1105127.76268334,373460.980183119,3270240.89974443,13.9154715085881,0.553531957615571,"index","Washington",34,"stripetail rockfish"
2012,1358030.85407302,423289.277735565,4356944.28755748,14.1215463070732,0.59477379189534,"index","Washington",34,"stripetail rockfish"
2013,687038.849798308,184757.604112478,2554819.77805266,13.4401461195304,0.670086865368727,"index","Washington",34,"stripetail rockfish"
2014,755004.558558799,226580.535040394,2515802.53062313,13.5344790660392,0.614104826279099,"index","Washington",34,"stripetail rockfish"
2015,723162.276992889,269961.463980007,1937179.00012673,13.491388925462,0.502741086795515,"index","Washington",34,"stripetail rockfish"
2016,883738.116586013,243070.231660725,3213034.57593728,13.6919160495237,0.658588810794927,"index","Washington",34,"stripetail rockfish"
2017,1302721.78866292,456593.587274044,3716837.26175183,14.0799663173176,0.534916639858713,"index","Washington",34,"stripetail rockfish"
2018,1015951.37545753,280683.818362691,3677294.9837825,13.8313360471736,0.656314067031406,"index","Washington",34,"stripetail rockfish"
2019,1456673.36781776,383482.753081508,5533227.46188416,14.1916658787256,0.680939018718112,"index","Washington",34,"stripetail rockfish"
2021,1572968.70168546,533977.354778251,4633587.01327237,14.2684752846304,0.551217564654951,"index","Washington",34,"stripetail rockfish"
2022,1791350.95740522,586487.742944526,5471449.81493689,14.3984806179628,0.569690860933254,"index","Washington",34,"stripetail rockfish"
2023,1068478.54390523,339198.067901141,3365721.99791705,13.8817462729644,0.585422382848593,"index","Washington",34,"stripetail rockfish"
2024,2795554.43937939,1121424.55697373,6968925.88532542,14.8435410131921,0.466044610752502,"index","Washington",34,"stripetail rockfish"
