"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,2384627.87542838,1007076.6347451,5646491.94319689,14.684553643057,0.439799597860133,"index","Coastwide",35,"widow rockfish"
2004,1201890.18008266,395648.186792435,3651071.97050535,13.9994060255794,0.566911104578691,"index","Coastwide",35,"widow rockfish"
2005,1229403.08367595,524755.71043889,2880258.20793417,14.0220393117291,0.434370834674663,"index","Coastwide",35,"widow rockfish"
2006,1385430.10685008,653372.538212097,2937706.23757612,14.1415211958562,0.383485846464076,"index","Coastwide",35,"widow rockfish"
2007,1736344.52955602,828043.532290965,3640982.88042627,14.3672926162373,0.37779857939333,"index","Coastwide",35,"widow rockfish"
2008,736323.555335264,293498.887752217,1847272.34332583,13.5094249143367,0.469292187483769,"index","Coastwide",35,"widow rockfish"
2009,2390136.96025896,1198890.49573551,4765034.59583368,14.6868612278135,0.352023880580811,"index","Coastwide",35,"widow rockfish"
2010,2545616.81069906,1220692.59443037,5308596.91988021,14.7498835403697,0.374983719183417,"index","Coastwide",35,"widow rockfish"
2011,2915464.34953556,1466839.54524162,5794725.40196118,14.885539661662,0.350475310796869,"index","Coastwide",35,"widow rockfish"
2012,1546082.35251745,778978.046388466,3068598.21255328,14.2512347748333,0.349749606406544,"index","Coastwide",35,"widow rockfish"
2013,2100547.26360964,828068.21764359,5328424.29240179,14.5577084704618,0.474936100546842,"index","Coastwide",35,"widow rockfish"
2014,2046356.68671231,1003684.17531204,4172204.55622934,14.5315715439808,0.363467689342705,"index","Coastwide",35,"widow rockfish"
2015,1074788.48196341,469223.146096656,2461878.29942056,13.8876344392196,0.422865277234994,"index","Coastwide",35,"widow rockfish"
2016,6685888.77801278,3632337.29870161,12306431.1147359,15.7155097107674,0.311292877115815,"index","Coastwide",35,"widow rockfish"
2017,2628695.11714553,1297197.93357445,5326895.64179622,14.7819981278526,0.360354104972758,"index","Coastwide",35,"widow rockfish"
2018,4004960.45506579,2073752.98543706,7734628.16414477,15.2030442645447,0.335809080992508,"index","Coastwide",35,"widow rockfish"
2019,4050709.97391961,1839296.27218691,8920939.78600986,15.2144027259215,0.402818182624066,"index","Coastwide",35,"widow rockfish"
2021,968859.866825991,396009.848362861,2370368.93255736,13.7838752641363,0.456478237183379,"index","Coastwide",35,"widow rockfish"
2022,949395.520878489,388423.222073809,2320540.5955179,13.7635807672438,0.455993054777498,"index","Coastwide",35,"widow rockfish"
2023,1595262.92457394,791770.682460426,3214142.4971837,14.282549123609,0.357415770193496,"index","Coastwide",35,"widow rockfish"
2024,3405434.54284571,1781886.65341856,6508261.56835391,15.0408831084674,0.330465169244608,"index","Coastwide",35,"widow rockfish"
2003,776274.829069866,321186.753188237,1876175.16683288,13.5622618976376,0.450255150617501,"index","California",35,"widow rockfish"
2004,389406.950962971,125994.354658543,1203528.31576645,12.8723802222051,0.575718661400464,"index","California",35,"widow rockfish"
2005,399510.533721725,166389.071200939,959249.699530244,12.8979954111042,0.446901724052042,"index","California",35,"widow rockfish"
2006,453733.500373732,207765.800877742,990894.981231989,13.0252653010873,0.398526983276124,"index","California",35,"widow rockfish"
2007,568368.300151571,262434.43333199,1230945.65189365,13.2505249033324,0.394276811919336,"index","California",35,"widow rockfish"
2008,237868.806641741,92381.8439566115,612474.992377729,12.3794745680713,0.482554185273488,"index","California",35,"widow rockfish"
2009,782966.362364092,381598.740752832,1606494.62150803,13.5708450141064,0.366700664470755,"index","California",35,"widow rockfish"
2010,826037.85114143,382076.759168522,1785867.66963597,13.6243958760796,0.393384304266134,"index","California",35,"widow rockfish"
2011,942903.1120179,450955.487010387,1971516.71121048,13.7567188119233,0.376330842072843,"index","California",35,"widow rockfish"
2012,497010.764334355,236754.590353955,1043357.59443954,13.1163669634647,0.378367954421198,"index","California",35,"widow rockfish"
2013,684847.65806198,266371.649421234,1760759.13398459,13.4369516955207,0.481796559567137,"index","California",35,"widow rockfish"
2014,664744.398361946,314466.497778694,1405189.80010571,13.407157882386,0.381907557581566,"index","California",35,"widow rockfish"
2015,347037.931302706,145766.415366382,826221.358741307,12.7571893650664,0.442573765215698,"index","California",35,"widow rockfish"
2016,2203552.87762231,1153631.93480673,4209007.34278914,14.6055815600819,0.330187614322905,"index","California",35,"widow rockfish"
