"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,1267371.16135735,622810.591570905,2579001.83840631,14.0524553614367,0.362485046596478,"index","Coastwide",36,"yelloweye rockfish"
2004,423670.363241778,147011.472175002,1220969.86060889,12.9567109866624,0.540032924221406,"index","Coastwide",36,"yelloweye rockfish"
2005,516448.878561198,225936.613604416,1180505.62904385,13.1547315859951,0.421804596603797,"index","Coastwide",36,"yelloweye rockfish"
2006,629935.167676253,269476.724225968,1472551.3552798,13.3533721846219,0.433240045341054,"index","Coastwide",36,"yelloweye rockfish"
2007,540009.323392451,221722.457721384,1315203.12532892,13.199341683933,0.454171608603157,"index","Coastwide",36,"yelloweye rockfish"
2008,976276.574651966,441437.690492568,2159117.74354986,13.7915012009199,0.404961034744303,"index","Coastwide",36,"yelloweye rockfish"
2009,834716.051143827,333037.255857898,2092110.93888678,13.6348468874896,0.46880312729192,"index","Coastwide",36,"yelloweye rockfish"
2010,659804.312437589,305085.882540696,1426948.13370516,13.3996985737322,0.393553137589834,"index","Coastwide",36,"yelloweye rockfish"
2011,678601.705401351,290849.714904611,1583292.85185874,13.4277896444463,0.432266961028489,"index","Coastwide",36,"yelloweye rockfish"
2012,918517.189472443,385270.808895824,2189820.27154952,13.7305158981845,0.443280661944769,"index","Coastwide",36,"yelloweye rockfish"
2013,911460.817237503,391969.807720019,2119451.05208885,13.722803885054,0.430550661658266,"index","Coastwide",36,"yelloweye rockfish"
2014,2131565.14523604,1049764.95383856,4328178.37152131,14.5723670778149,0.361379208911044,"index","Coastwide",36,"yelloweye rockfish"
2015,657818.357991147,268623.486466109,1610897.83251236,13.396684120513,0.456956417578701,"index","Coastwide",36,"yelloweye rockfish"
2016,1260491.86861651,670059.82897914,2371190.87301353,14.0470125746702,0.322398929414164,"index","Coastwide",36,"yelloweye rockfish"
2017,453200.911984694,221064.846321941,929098.723931183,13.0240908204568,0.366271761311987,"index","Coastwide",36,"yelloweye rockfish"
2018,620958.62499388,328456.801878767,1173943.15401211,13.3390197322771,0.324934095815476,"index","Coastwide",36,"yelloweye rockfish"
2019,654300.724106151,236426.61764215,1810749.744827,13.3913223475455,0.51936117276653,"index","Coastwide",36,"yelloweye rockfish"
2021,860428.966393318,406104.108164146,1823025.158636,13.665186342003,0.38307923929365,"index","Coastwide",36,"yelloweye rockfish"
2022,746424.685120148,367359.379168962,1516634.23380422,13.5230500002087,0.361717931099206,"index","Coastwide",36,"yelloweye rockfish"
2023,603809.768163771,255732.927514462,1425652.29934799,13.3110144739375,0.438337415235752,"index","Coastwide",36,"yelloweye rockfish"
2024,639751.940253678,337293.086109314,1213432.95167841,13.3688357868485,0.326602054326991,"index","Coastwide",36,"yelloweye rockfish"
2003,176650.704135939,75899.2445313617,411143.371246981,12.0819296388305,0.431011812274739,"index","California",36,"yelloweye rockfish"
2004,54231.2230485393,16821.5261866274,174837.02255735,10.9010120925688,0.597254559761875,"index","California",36,"yelloweye rockfish"
