"year","est","lwr","upr","log_est","se","type","index","index_id","common_name"
2003,15782019.0761356,7973956.58121842,31235701.321244,16.5743818167898,0.348317857016876,"index","Coastwide",39,"yellowtail rockfish"
2004,11035880.9140827,4901657.59195657,24846832.9876141,16.2166624235836,0.414078238190457,"index","Coastwide",39,"yellowtail rockfish"
2005,19088120.9646256,10549280.7967541,34538502.5747244,16.7645767605077,0.30256092486723,"index","Coastwide",39,"yellowtail rockfish"
2006,9097683.0518862,4508778.91725471,18357040.4385614,16.0235303293857,0.358166481709803,"index","Coastwide",39,"yellowtail rockfish"
2007,13734431.1579983,7624410.79144277,24740875.6418931,16.4354164611459,0.300286567288846,"index","Coastwide",39,"yellowtail rockfish"
2008,8993090.31626312,4476282.7879844,18067596.9922094,16.0119670977978,0.355957343173166,"index","Coastwide",39,"yellowtail rockfish"
2009,7476880.5030712,3842877.25786512,14547366.024452,15.8273262179192,0.339595162603807,"index","Coastwide",39,"yellowtail rockfish"
2010,19219762.0599198,10624472.7384023,34768713.9621276,16.7714495816129,0.302443789460538,"index","Coastwide",39,"yellowtail rockfish"
2011,16341797.2404402,9123301.63303863,29271676.8324927,16.6092366315827,0.297400522906179,"index","Coastwide",39,"yellowtail rockfish"
2012,17265773.6079502,9336417.73387178,31929477.3197091,16.6642366956767,0.313681018713733,"index","Coastwide",39,"yellowtail rockfish"
2013,9922737.6136695,4148676.8778247,23733041.7984632,16.1103394103085,0.444926233561471,"index","Coastwide",39,"yellowtail rockfish"
2014,31078637.3649413,17934678.3172891,53855535.2582158,17.2520312396757,0.280507453838651,"index","Coastwide",39,"yellowtail rockfish"
2015,20095701.0081964,11970641.8195177,33735634.6551432,16.8160164699644,0.264315456277112,"index","Coastwide",39,"yellowtail rockfish"
2016,49107737.7182575,31442487.2744629,76697809.6470062,17.7095271713518,0.227482005123247,"index","Coastwide",39,"yellowtail rockfish"
2017,40829578.190837,25358363.5325112,65739827.9311042,17.5249173323787,0.243013739109314,"index","Coastwide",39,"yellowtail rockfish"
2018,23611619.9448803,14287671.3482061,39020256.1939155,16.977249519367,0.25630161749951,"index","Coastwide",39,"yellowtail rockfish"
2019,35040687.8321852,17919220.8130034,68521383.6341389,17.3720204537538,0.342167496900535,"index","Coastwide",39,"yellowtail rockfish"
2021,11462292.7686524,5796771.82776321,22665055.5547222,16.2545733163128,0.347843931083852,"index","Coastwide",39,"yellowtail rockfish"
2022,14924996.2044424,7783753.7686091,28618005.9550399,16.5185479629342,0.332148293916019,"index","Coastwide",39,"yellowtail rockfish"
2023,17200171.3609114,10545722.8999921,28053638.204825,16.6604299045777,0.249595903330339,"index","Coastwide",39,"yellowtail rockfish"
2024,16524720.0097379,9266474.44124282,29468205.3171031,16.6203680001236,0.295135246698157,"index","Coastwide",39,"yellowtail rockfish"
2003,307014.469947309,110348.347036684,854184.836368167,12.6346501588374,0.522077310916907,"index","California",39,"yellowtail rockfish"
2004,189651.130140294,59447.9821740036,605025.601343608,12.1529415061834,0.591890746643988,"index","California",39,"yellowtail rockfish"
2005,434693.843984469,168135.013072135,1123851.2106751,12.9823972553502,0.484638839270278,"index","California",39,"yellowtail rockfish"
2006,181330.260961345,64537.1792992023,509484.050858045,12.1080752937986,0.527090570024808,"index","California",39,"yellowtail rockfish"
2007,311493.356300481,122362.741086355,792954.703024038,12.6491332888939,0.476737377029906,"index","California",39,"yellowtail rockfish"
2008,163577.274598365,56627.7079885852,472516.471449321,12.0050407851792,0.541227853525225,"index","California",39,"yellowtail rockfish"
2009,160841.285945339,59273.5593158651,436449.56643638,11.9881733561629,0.509323007201926,"index","California",39,"yellowtail rockfish"
2010,367140.223437873,138302.287101125,974618.326936653,12.8134991342748,0.498122458990905,"index","California",39,"yellowtail rockfish"
2011,358075.93662976,137611.110086786,931744.365061927,12.7885003563809,0.487923972477284,"index","California",39,"yellowtail rockfish"
